RA_d,DEC_d,logP,modulus_IRSB,EBV,B_mag,V_mag,I_mag,K_mag,J_mag,H_mag,Source,Gmagmean,BPmagmean,RPmagmean,M_B,M_V,M_I,M_K,M_J,M_H
294.15720553955,20.33293797938,0.902584,9.006,0.603,8.419,7.125,5.542,3.957,4.631,4.099,1825621002188696448,6.664063,7.484966,5.763077,-3.1384738999999993,-3.82869,-4.648195520000001,-5.28077511,-4.9437254799999995,-5.25953189
277.84319532904,-12.92870434671,1.168739,12.735,1.02,13.124,11.247,9.184,6.534,7.534,6.746,4104869264724284544,10.319376,11.568671,9.235612,-3.926925999999998,-4.7825999999999995,-5.5541168,-6.593057399999999,-6.1630232,-6.585322599999999
318.66847533268,41.71634636855,0.720788,9.599,0.841,11.167,9.627,7.742,5.587,6.482,5.809,1968971582984827136,8.951982,9.974742,7.94556,-1.9905233000000004,-2.6884299999999994,-3.5085894399999997,-4.335255170000001,-3.9101975600000003,-4.28167383
302.28233178019,37.15196889362,0.639968,11.396,0.391,10.897,9.867,8.669,7.299,7.895,7.41,2060021625508894592,9.499416,10.098387,8.766351,-2.1534383000000012,-2.7919300000000007,-3.49486144,-4.2472886700000005,-3.869775560000001,-4.214590330000001
304.72631752134,40.06449477517,1.049647,11.407,1.238,12.847,10.943,8.639,5.789,6.921,6.081,2062267687221984128,9.875656,11.22395,8.753282,-3.7983494,-4.46274,-5.199233920000001,-6.09385006,-5.6536320799999995,-6.049771939999999
317.7265544921,49.14205570441,0.860413,11.52,0.73,12.035,10.601,8.837,6.903,7.715,7.073,2165771172070496512,9.980179,10.908825,9.023186,-2.573848999999999,-3.2768999999999977,-4.1166032,-4.8975901,-4.4935068,-4.873779899999999
107.03879965547,-0.06571393847,0.433514,10.484,0.244,10.965,10.372,9.474,8.365,8.835,8.436,3111232222844668800,10.121301,10.54783,9.519695,-0.5514372000000005,-0.9001199999999994,-1.48917696,-2.2127862799999996,-1.879131039999999,-2.1906497199999997
303.99302894156,35.01472396176,0.827263,12.365,0.978,12.246,10.618,8.694,6.314,7.233,6.542,2055809495218465152,9.810226,10.891777,8.77974,-4.257211400000001,-4.905939999999999,-5.59163552,-6.42691386,-6.0544104800000005,-6.39476814
101.78916675158,3.96709767856,0.616329,13.005,0.307,11.057,10.5,9.459,8.193,8.717,8.275,3127458403131746048,10.222465,10.706979,9.523272,-3.2470090999999996,-3.4966100000000004,-4.148898880000001,-4.930001590000002,-4.57755012,-4.90948141
290.25977404997,8.51633491979,0.859672,11.139,0.798,11.527,10.036,8.199,6.272,7.074,6.45,4307944836090489600,9.364086,10.26895,8.35341,-2.9885774000000005,-3.6805399999999997,-4.50714432,-5.173727259999999,-4.8176416799999995,-5.155534739999999
287.50173171969,12.53655783303,1.128449,12.481,1.089,12.574,10.791,8.896,6.581,7.486,6.767,4313179507891570304,9.996522,11.072132,8.978341,-4.5148857,-5.207469999999999,-5.723621759999999,-6.318578929999999,-6.02210124,-6.350662069999999
298.08746221557,-11.36687614725,0.730464,9.984,0.195,8.677,7.789,6.845,5.714,6.22,5.807,4190143160245024256,7.576161,8.051746,6.929158,-2.1321035000000004,-2.8248500000000005,-3.5219488000000005,-4.344952149999999,-3.9479162,-4.29100285
287.9965547453,4.35485587836,0.873787,10.969,0.546,9.131,7.766,6.311,4.59,5.279,4.729,4293157229319068544,7.255586,8.019537,6.381183,-4.148289799999999,-4.9665799999999996,-5.7302566399999995,-6.588866019999999,-6.204965359999999,-6.559207979999999
281.32290351014,-20.64737576857,0.712165,9.982,0.299,8.382,7.474,6.416,5.165,5.712,5.257,4080122796947250176,7.233767,7.767835,6.537916,-2.8651586999999994,-3.473769999999999,-4.153188159999999,-4.9319266299999995,-4.5520048399999995,-4.89980437
287.08654476487,-7.43774443265,0.832958,9.587,0.397,8.901,7.753,7.745,5.04,5.647,5.15,4204653587029046400,7.354467,8.015718,6.542987,-2.3658260999999996,-3.1163099999999995,-2.6216444799999996,-4.699594889999999,-4.31443452,-4.669098109999999
127.18205853217,-60.1225746786,0.82586,9.695,0.166,8.235,7.368,6.421,5.284,5.806,5.387,5302258008774271488,7.144171,7.606679,6.497907,-2.1623958000000005,-2.86318,-3.59999744,-4.474805420000001,-4.04556456,-4.405048580000001
218.13784728387,-56.887715036,0.739882,9.041,0.294,7.705,6.834,5.796,4.509,5.073,4.628,5891675303053080704,6.597224,7.116992,5.911747,-2.5800022,-3.15662,-3.8223689600000004,-4.64500478,-4.24528904,-4.584881220000001
342.15831458889,56.32153964677,0.697493,11.321,0.335,9.816,8.921,7.866,6.587,7.121,6.671,2003938801532007808,8.602129,9.139966,7.926733,-2.9224854999999987,-3.48205,-4.1128864,-4.86276395,-4.515958599999999,-4.845851049999999
203.49595863134,-64.05555537459,1.177138,12.694,0.439,11.586,10.248,8.77,6.819,7.654,7.014,5864955727424819200,9.75944,10.568641,8.881839,-2.9655407,-3.863970000000002,-4.786125760000001,-6.043738430000001,-5.454047240000001,-5.936652570000001
314.3367912724,40.17750284385,1.303917,12.343,0.753,11.769,10.062,8.161,5.905,6.816,6.083,1873250780732545920,9.371486,10.471921,8.332726,-3.7601689,-4.713190000000001,-5.660771520000001,-6.72743061,-6.23719948,-6.70022639
31.95200372729,58.44353933792,1.036883,13.118,0.475,10.492,9.299,7.919,6.298,6.98,6.437,506779550797525760,8.826002,9.518736,8.012341,-4.6358675,-5.353250000000001,-6.131824000000001,-7.00257575,-6.5860009999999996,-6.9586992500000004
161.13621218924,-57.5653686318,1.276818,11.344,0.242,8.642,7.463,6.28,4.806,5.463,4.945,5351161399793209984,7.301228,7.998276,6.515756,-3.7259746,-4.662659999999999,-5.539249279999999,-6.631017539999999,-6.1092447199999995,-6.5404804599999995
316.06931817729,39.97225187128,0.895256,11.147,0.606,10.822,9.582,8.079,6.396,7.102,6.548,1873112207907294848,9.136713,9.936349,8.268666,-2.889167800000001,-3.522379999999999,-4.2580870399999995,-4.98392822,-4.61655496,-4.95328578
327.9226734177599,43.13403946834,0.687034,11.452,0.266,9.836,8.956,7.933,6.759,7.283,6.872,1960750328384177408,8.692997,9.189994,8.027536,-2.7415258,-3.3551800000000007,-4.04138144,-4.795242419999999,-4.419880559999999,-4.73551158
114.64682513589,-28.49961039751,1.364945,13.31,0.455,10.793,9.634,8.305,6.67,7.373,6.83,5600052040150252800,9.238914,9.956613,8.399871,-4.4422415000000015,-5.14565,-5.898547200000001,-6.81488835,-6.366137800000001,-6.74600665
98.73938540488,15.33047120265,0.898368,9.795,0.255,7.865,6.95,5.901,4.693,5.204,4.763,3356940155020790656,6.709806,7.243797,6.010791,-3.0089815,-3.6686499999999995,-4.3947792,-5.20001435,-4.8315058,-5.18108065
271.25511014821,-29.58008950621,0.880529,6.963,0.108,5.423,4.672,3.863,2.847,3.311,2.941,4050309195613114624,4.487294,4.927372,3.878749,-1.9969804,-2.6398400000000004,-3.31209472,-4.15751196,-3.75386128,-4.085140040000001
98.40492437305,9.20356640249,0.66858,13.254,0.605,13.637,12.51,11.137,9.392,10.064,9.507,3326443821335586816,12.149516,12.89221,11.280847,-2.1769364999999983,-2.69815,-3.305123199999999,-4.094543850000001,-3.7606117999999995,-4.100701149999999
163.82802965986,-60.93998648102,1.361977,12.742,0.372,10.427,9.266,7.963,6.29,7.009,6.456,5338182833266967680,8.825881,9.527148,8.039232,-3.889043600000001,-4.6775600000000015,-5.509548480000001,-6.594985640000001,-6.08385552,-6.5034823600000005
