Identifier,name,gal,logP,IRSB,sig_mM0_IRSB,EBV,sig_EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,Wvi,Wjk,DR3Name,RAdeg,DEdeg,Plx,RUWE,QLT
xSgr,xSgr,MW,0.845893,7.711,0.036,0.237,0.02,5.311,4.561,3.655,3.016,2.618,2.521,-5.462,-5.53,Gaia DR3 4057701830728920064,266.89007492147,-27.83083461775,2.8057,1.222,2
TWCMa,TWCMa,MW,0.844792,11.447,0.028,0.329,0.02,10.534,9.564,8.419,7.66,7.175,7.069,-4.804,-4.785,Gaia DR3 3031875585286182144,110.50990452423,-14.31817971516,0.3598,1.149,3
USgr,USgr,MW,0.828997,9.058,0.039,0.402,0.02,7.786,6.69,5.426,4.587,4.093,3.954,-5.593,-5.54,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,1.5693,0.853,2
VCar,VCar,MW,0.82586,9.871,0.04,0.166,0.02,8.235,7.368,6.421,5.806,5.387,5.284,-4.919,-4.945,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,0.7927,1.042,2
BBSgr,BBSgr,MW,0.821971,9.784,0.013,0.281,0.02,7.924,6.94,5.822,5.099,4.639,4.51,-5.695,-5.678,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,1.1516,0.82,1
XXSgr,XXSgr,MW,0.807815,10.648,0.075,0.521,0.02,9.967,8.856,7.469,6.496,5.961,5.824,-5.33,-5.286,Gaia DR3 4096979650282842112,276.18541940721,-16.79717387453,0.687,1.1,3
CRCep,CRCep,MW,0.794695,10.107,0.029,0.709,0.02,11.048,9.655,7.929,6.754,6.098,5.935,-4.854,-4.736,Gaia DR3 2008504454839717120,341.60317447817,59.44218743844,0.6727,1.056,2
FMAql,FMAql,MW,0.786342,10.527,0.051,0.589,0.02,9.546,8.27,6.717,5.794,5.235,5.075,-6.218,-5.947,Gaia DR3 4312361436842603520,287.31662690693,10.55246519356,0.9821,1.261,2
CSVel,CSVel,MW,0.771201,12.675,0.074,0.737,0.02,13.049,11.709,10.068,8.84,8.234,8.018,-5.152,-5.221,Gaia DR3 5308893149150949248,145.29271952315,-53.81603750378,0.2611,0.905,3
FMCas,FMCas,MW,0.764123,11.212,0.064,0.325,0.02,10.119,9.128,7.978,7.223,6.746,6.638,-5.017,-4.977,Gaia DR3 422226488141991296,3.61765603372,56.25293038823,0.4463,1.081,3
VCen,VCen,MW,0.739882,9.191,0.068,0.294,0.02,7.705,6.834,5.796,5.073,4.628,4.509,-5.006,-5.07,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,1.3898,1.06,3
XLac,XLac,MW,0.735997,11.48,0.045,0.336,0.02,9.306,8.405,7.317,6.608,6.157,6.046,-5.849,-5.82,Gaia DR3 2004036486267748352,342.26322668964,56.4281966365,0.4966,1.01,2
SWCas,SWCas,MW,0.735675,11.805,0.065,0.467,0.02,10.808,9.703,8.387,7.5,6.982,6.859,-5.458,-5.388,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,0.4363,1.123,3
CVMon,CVMon,MW,0.730685,11.066,0.034,0.722,0.02,11.596,10.305,8.616,7.404,6.791,6.576,-5.07,-5.059,Gaia DR3 3127142323596470144,99.27018871085,3.06396219477,0.5675,1.1,2
V1162Aql,V1162Aql,MW,0.730464,10.132,0.057,0.195,0.02,8.677,7.789,6.845,6.22,5.807,5.714,-4.75,-4.766,Gaia DR3 4190143160245024256,298.08749761841,-11.3669243656,0.7868,0.952,3
CRSer,CRSer,MW,0.724391,11.711,0.112,1.036,0.02,12.492,10.853,8.895,7.463,6.763,6.548,-5.853,-5.793,Gaia DR3 4147381366335558784,272.50887793975,-13.54596188866,0.5351,1.19,2
VLac,VLac,MW,0.697493,11.46,0.043,0.335,0.02,9.816,8.921,7.866,7.121,6.671,6.587,-5.23,-5.241,Gaia DR3 2003938801532007808,342.15828864485,56.32153324908,0.4725,1.094,3
CFCas,CFCas,MW,0.687994,12.348,0.025,0.553,0.02,12.338,11.128,9.691,8.701,8.132,7.966,-4.886,-4.888,Gaia DR3 2011892703004353792,359.57487036665,61.2210537331,0.289,1.036,3
VZCyg,VZCyg,MW,0.687034,11.588,0.024,0.266,0.02,9.836,8.956,7.933,7.283,6.872,6.759,-5.243,-5.189,Gaia DR3 1960750328384177408,327.92264896468,43.13402308887,0.52,1.314,1
TVel,TVel,MW,0.666501,10.133,0.024,0.289,0.02,8.944,8.032,6.959,6.225,5.768,5.641,-4.839,-4.893,Gaia DR3 5521459979795304320,129.42006775171,-47.36194868437,0.9309,0.926,2
