,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
10,YLac,0.635863,11.297,0.5447253532690913,-4.329704287287505,-2.9841600634374936,-4.731552891059165,-3.7044198957538113,-5.183600157763973,-4.630169862201426,-5.420097444189276,-5.301142902705069,-5.692598073281709,-5.769962485012065,-5.717967794036041,-5.88667805261385
11,TVul,0.646934,8.115,0.37636007200199917,-4.463614372662059,-3.166160063437494,-4.783843032566457,-3.7934198957538108,-5.082280563800405,-4.551169862201425,-5.2123781655094055,-5.104142902705069,-5.429953588894529,-5.5139624850120645,-5.431599320875408,-5.604678052613849
12,XYCas,0.653376,10.165,1.0508864961537439,-3.2713331311753344,-1.1211600634374923,-3.884773382576592,-2.243419895753811,-4.446046216606566,-3.5191698622014234,-4.821449827712364,-4.523142902705069,-5.132771982246362,-5.098962485012064,-5.152060032526614,-5.247678052613849
13,TVel,0.666501,9.972999999999999,0.40028477672930773,-1.819879275774718,-1.3901600634374922,-2.6204498288356635,-2.2924198957538104,-3.5525454959320832,-3.4241698622014245,-4.1729593500200135,-4.258142902705069,-4.590060419019254,-4.793962485012064,-4.694774529631443,-4.946678052613849
14,VZCyg,0.687034,11.187999999999999,0.5466419267229627,-3.339480184542871,-2.193160063437493,-3.9384734233151693,-3.063419895753811,-4.606135841375623,-4.145169862201425,-4.9696902396080285,-4.895142902705069,-5.280071689620045,-5.384962485012064,-5.336870337374505,-5.523678052613849
15,CFCas,0.687994,12.288,0.6830244375020194,-0.6201724024022957,-0.11116006343749563,-1.699978933131523,-1.3114198957538117,-2.9723471913439656,-2.807169862201425,-3.829633848474405,-3.8971429027050704,-4.352016186896806,-4.544962485012065,-4.4919774930426515,-4.73667805261385
16,VLac,0.697493,10.58,0.603026911081712,-3.658102268860048,-2.565160063437494,-4.284726922793931,-3.4504198957538126,-5.00036196905871,-4.564169862201426,-5.471792261455827,-5.40914290270507,-5.825696573025702,-5.937962485012065,-5.856021503812479,-6.0476780526138505
17,V0386Cyg,0.720788,9.484,0.930204833759472,0.7855475869135459,1.121839936562506,-0.6651316130430939,-0.4084198957538101,-2.4371840207302014,-2.3521698622014244,-3.606134431008583,-3.7121429027050694,-4.2471518219607995,-4.463962485012064,-4.451287661952128,-4.711678052613849
18,CRSer,0.724391,10.791,1.4113084491475931,-1.7270426408782105,-0.18016006343749352,-2.990246290746726,-1.8094198957538115,-4.47304574477401,-3.8261698622014255,-5.521975916898044,-5.35814290270507,-6.087416578625158,-6.136962485012065,-6.227257308598861,-6.37767805261385
19,V1162Aql,0.730464,9.712,0.5281015126791777,-3.2844524305994045,-1.916160063437494,-3.8389178859537436,-2.794419895753811,-4.361158074659876,-3.7971698622014247,-4.646168022698493,-4.5221429027050695,-4.939741137357627,-5.013962485012064,-4.966034228428494,-5.132678052613849
20,CVMon,0.730685,11.266,0.5206715906440885,1.5818808985076673,0.6888399365625053,0.08929076221959287,-0.592419895753812,-1.854623216570488,-2.3401698622014258,-3.2721150974318793,-3.6521429027050707,-3.9572973720382536,-4.343962485012065,-4.212615399295869,-4.58467805261385
21,SWCas,0.735675,11.365,0.6536509117496416,-2.2267760028862584,-1.4781600634374938,-3.144882444951343,-2.5734198957538115,-4.224552526530416,-3.948169862201424,-4.921041673925792,-4.93514290270507,-5.372121722536193,-5.531962485012064,-5.45774301094921,-5.68067805261385
22,XLac,0.735997,10.48,0.44149589298438635,-3.620384771984835,-3.2151600634374953,-4.415751734339569,-4.106419895753812,-5.370177054478457,-5.253169862201426,-5.971499506427155,-6.06214290270507,-6.384676063915462,-6.591962485012065,-6.474549456386408,-6.72867805261385
23,VCen,0.739882,8.731,0.464320294094017,-2.6666762604000147,-1.9871600634374946,-3.367134549923676,-2.8484198957538123,-4.189481806353594,-3.9451698622014253,-4.738639288577714,-4.76814290270507,-5.122574353536185,-5.291962485012065,-5.207466011440918,-5.43667805261385
24,FMCas,0.764123,10.751999999999999,0.5132479745506204,-2.34953365471604,-1.594160063437494,-3.1520409577985036,-2.575419895753811,-4.06368890234149,-3.784169862201425,-4.626547959677163,-4.6391429027050695,-5.036055413361528,-5.194962485012064,-5.106356873978021,-5.328678052613849
