,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
37,xSgr,0.845893,7.316269118243055,0.14030252291363432,-2.3961130834475157,-2.5924482196178094,-3.242936267254094,-3.3217051863415428,-4.271370744841768,-4.227705186341544,-5.0090679257542785,-4.906475722323311,-5.441736872214053,-5.440432011670848,-5.558101508975369,-5.668020570201787
38,V0600Aql,0.859672,12.239348318024385,0.2659808464984411,3.498784326186761,1.46047258060086,1.4750735477856503,-0.009784386122872996,-1.0355478236118834,-1.8467843861228734,-2.7035691332078544,-3.0115549221046405,-3.518313960312768,-3.7715112114521774,-3.8028561159929897,-4.080099769983116
39,V0459Cyg,0.860413,12.662068946790399,0.3004646838243545,2.75042383654361,1.1457519518348465,0.8863301244569366,-0.26750501488888623,-1.4215303114720195,-2.0315050148888876,-2.9819484179861773,-3.1932755508706547,-3.777949714894631,-3.9712318402181914,-4.033968457311967,-4.271820398749131
40,CKSct,0.870124,11.64572101874594,0.6984494899882427,1.247023754266808,1.212099879879305,-0.40160287140796447,-0.35715708684442826,-2.27273718516445,-2.1541570868444273,-3.61249851972325,-3.473927622826195,-4.3114906340777654,-4.287883912173732,-4.49121595921272,-4.586472470704671
41,TZMon,0.870882,12.94368207514518,0.3134107137246811,0.046329171871575925,-0.19186117651993537,-0.7233986804759012,-0.8341181432436691,-2.1863577711862585,-2.162118143243669,-3.2121513239017507,-3.118888679225436,-3.7953667807100406,-3.799844968572973,-3.9667123511795364,-4.080433527103913
42,V1344Aql,0.873787,9.632609588121726,0.4474799889077869,-0.24474186518724428,-0.4487886894964802,-1.7083899522938777,-1.793045656220214,-3.2881320495383943,-3.2480456562202145,-4.420689454459994,-4.319816192201982,-5.006011834036886,-5.005772481549519,-5.164741451458212,-5.275361040080458
43,RSOri,0.878917,11.221908401272403,0.12096449134920925,-0.42832785351831193,-1.1930875026471572,-1.6216637083303482,-2.13434446937089,-3.075191627963633,-3.29534446937089,-4.075004950933323,-4.099115005352658,-4.628838111849891,-4.7060712947001955,-4.776105282812298,-4.937659853231135
44,BKAur,0.903222,11.737938427875784,0.3351249348563765,-0.7136500647335706,-0.8811175292505391,-1.870641967461879,-1.927374495974271,-3.1924381799441295,-3.1353744959742715,-4.146171861434925,-4.03714503195604,-4.680394768540868,-4.675101321303577,-4.81139314908653,-4.918689879834516
45,GHLup,0.967448,10.06261827152559,0.3669290613707555,-1.6229441089036685,-1.3257973729003452,-2.809989139753131,-2.5120543396240786,-4.057755759407935,-3.785054339624079,-4.909414565048032,-4.696824875605846,-5.434269398674775,-5.364781164953383,-5.577278404844668,-5.642369723484323
46,FNAql,0.976878,11.362928469687203,0.11132805539363577,1.3754209295257052,0.0028924289380418966,-0.20373808860864795,-1.1803645377856922,-2.1201327179914413,-2.6223645377856917,-3.399552878412265,-3.559135073767459,-4.088884010711984,-4.250091363114996,-4.3029158143388555,-4.519679921645936
