,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
59,RXAur,1.065337,9.644,0.24766550709479168,-2.948115160170192,-2.289883540173962,-3.9254695879161776,-3.4080034200257736,-5.023885509453036,-4.708504764720674,-5.810537119671524,-5.657216816129284,-6.280034995412827,-6.1887467066128155,-6.369105880962025,-6.306622606573235
60,UUMus,1.065819,11.200000000000001,0.5000257017682921,-2.030313551892175,-0.9008835401739631,-3.076163016711584,-2.1990034200257735,-4.262579114160642,-3.728504764720674,-5.122567600879783,-4.864216816129285,-5.627139506024797,-5.470746706612816,-5.768909398988678,-5.663622606573235
61,RYCas,1.084181,10.922,0.7051449920208749,-1.9697366047379288,-0.877883540173963,-3.2534783242274274,-2.4050034200257744,-4.690138821130275,-4.173504764720674,-5.829191670674409,-5.579216816129285,-6.421947576685165,-6.270746706612816,-6.582495920583064,-6.4806226065732355
62,UNor,1.101875,9.408,0.8605104431063416,-0.5818537379158635,0.15611645982603772,-2.172338731233483,-1.5940034200257727,-4.062893948589957,-3.7105047647206733,-5.480310909520177,-5.309216816129283,-6.17305231035326,-6.070746706612815,-6.418349309016785,-6.348622606573235
63,ZSct,1.110645,11.159,0.5739338063557938,-2.5786865148332714,-1.5088835401739633,-3.831646194529214,-3.0000034200257732,-5.264904886273763,-4.758504764720675,-6.181276688802532,-5.936216816129285,-6.7289009612097885,-6.580746706612817,-6.867492897148977,-6.7676226065732354
64,BNPup,1.135867,12.0,0.5450670934480447,-3.0371215925067103,-1.767883540173961,-4.094886711837185,-3.111003420025773,-5.2614671207970085,-4.662504764720674,-6.055730919856457,-5.766216816129283,-6.5594564948425305,-6.383746706612816,-6.688609518708624,-6.5706226065732345
65,TTAql,1.138459,8.82,0.5337615739909058,-2.761889848027721,-1.620883540173963,-3.9609998839906266,-3.075003420025774,-5.295951929466301,-4.756504764720674,-6.1011479661252634,-5.840216816129285,-6.633738979002304,-6.475746706612816,-6.766960986194886,-6.660622606573236
66,LSPup,1.150646,12.395999999999999,0.5865475589920992,-3.0379980863632676,-1.787883540173961,-4.150288615544479,-3.181003420025772,-5.366591478251044,-4.7765047647206735,-6.219468275738988,-5.934216816129284,-6.75081423941355,-6.577746706612816,-6.890872345249793,-6.774622606573235
67,TXCyg,1.167607,9.316,1.1224833948989625,0.07880501116401811,0.7701164598260367,-1.8027213655236494,-1.260003420025773,-4.07323859023838,-3.742504764720675,-5.846910638732907,-5.686216816129285,-6.674605567159782,-6.578746706612817,-6.941110842497315,-6.875622606573236
68,UZSct,1.168739,11.613,1.0080847355156926,-0.4385829413875485,0.2341164598260389,-2.327513695715686,-1.7990034200257727,-4.405600326995137,-4.083504764720674,-6.06776199914898,-5.911216816129284,-6.860033978924538,-6.766746706612815,-7.074420129790166,-7.010622606573235
