,var_gVI_M,mu_gVI_M,rd_gVI_M,var_gVI_S,mu_gVI_S,rd_gVI_S,var_iVI_M,mu_iVI_M,rd_iVI_M,var_iVI_S,mu_iVI_S,rd_iVI_S
41,0.0003458370867921292,-0.02,0.00921174747685055,4.244769959058326e-06,0.06,0.013958119847937482,0.0003665530533156389,0.98,0.0035337307318805025,9.382575179546254e-06,0.98,0.011284384195785988
42,3.124938993497426e-05,-0.28,-0.043377224036897054,8.543173525815497e-07,0.06,-0.021545552918706194,2.32824572986798e-05,-0.58,-0.03937104239025612,4.4762209343037184e-08,0.3,-0.024865693987858876
43,7.19781629286273e-05,-0.16,-0.061039599033420766,1.4745124774987778e-07,-0.4,-0.06933681338626001,9.626266502381048e-05,-0.22,-0.06312914076436676,5.204848235641837e-09,-0.84,-0.06661819654580697
44,0.00011599161539121891,0.12,0.06611011851953769,2.534440241879722e-06,-0.08,0.045368989013826494,0.00010258525967309875,0.56,0.06442583442625738,1.4737476398088715e-07,0.1,0.047581309071119404
45,0.00013430230685630714,-0.78,0.000975539149410502,1.1839284669442149e-06,0.2,0.049250130830246874,0.013256960158757705,-1.0,0.12883498406129767,4.8619359445992816e-08,-0.44,0.03981825344945348
46,2.0580044954715853e-05,-0.32,-0.0077023216698804435,4.982279410085902e-08,-0.04,0.005603231197347093,7.821951131361922e-06,-0.98,-0.0062573483066953985,3.4248447921408075e-09,-0.18,0.003033481502809432
47,9.517554591973334e-05,0.32,0.019971634583618992,7.07618075892761e-07,-0.14,-0.007630418858628971,0.00019645142878624603,0.98,0.004910299777257823,3.6896812794929346e-08,-0.1,-0.0036919563343569112
48,0.0002191835925585815,-0.68,-0.003839952153563647,2.5416522852909343e-08,-0.12,0.022006557684545153,0.0017368524501731465,-1.0,0.04117652314702277,4.1595022931427685e-09,-0.14,0.016934206075806642
49,2.993638480969352e-05,0.5,0.017661939865002137,2.5182608972885846e-07,-0.1,-0.012105783439993573,0.0033839223341433273,0.98,-0.04815231759763964,7.941802822680605e-09,0.34,-0.007010610097001649
50,4.911020796598832e-05,-0.58,-0.10234065807867211,1.313970052099232e-06,-0.32,-0.080900014871065,3.779698548872642e-05,-0.62,-0.0978939072583978,7.390045002632838e-08,0.04,-0.08314137861233674
51,6.797436798912909e-05,-0.02,0.03499081769390591,2.5106023838739416e-07,0.1,0.03628203246387821,6.920806435784968e-05,-0.4,0.035046356398714174,1.687963915041943e-08,0.0,0.035441474183037246
52,8.572454398476379e-05,0.08,0.09832692649609308,3.1053593787597887e-06,0.48,0.126809413819032,0.0001227974092816543,-1.0,0.10816011559917038,1.6878357327694322e-07,-0.06,0.12314258204635758
53,0.00013265434894421796,-0.28,-0.010981717565961812,3.060430966826386e-07,0.18,0.007186373786257228,0.0003937826232775122,-1.0,0.00898330931371425,1.1914139615359447e-08,-0.04,0.002491328449142772
54,0.00010451759917198587,0.16,-0.030976456409424372,4.081031313474044e-08,-0.06,-0.045751335881747124,8.857111951448604e-05,0.26,-0.035223354272828404,4.5000197304138754e-09,-0.3,-0.0437699488585776
55,0.0004938667116112213,-0.04,-0.03939465898978459,1.430902960999583e-07,0.12,-0.019446530442428105,0.00044962611028928515,-0.82,-0.036146161588874993,1.6190186107689556e-09,-0.36,-0.02007940697868029
56,6.463337245066782e-05,0.74,0.04415777668023621,2.810921266168401e-06,-0.18,-0.011190122482676883,0.0036491612282808,0.98,-0.02829059040807108,1.2912227605575214e-07,-0.42,-0.0031027534743765504
57,0.00031046431436028665,-0.04,-0.006929488145146013,1.5729871652547296e-06,-0.76,-0.04086737481369696,0.0010413617974173585,0.98,-0.03963787140696306,5.3993696984288194e-08,-0.5,-0.03380722150026495
58,0.00022274234229979607,-0.08,-0.04642605359837807,1.3025433025184582e-07,-0.3,-0.04761802398013431,0.00026208888499531184,0.16,-0.048380322376524086,4.465484099917719e-09,-0.44,-0.04517677032341034
59,8.877046529891865e-05,0.12,0.014265103310491153,5.178689537549918e-08,-0.36,-0.009218936696736409,6.21182520871914e-05,0.66,0.01066176035761668,6.506122424633725e-09,-0.74,-0.00533445484755937
60,0.00020556183906272866,0.64,0.002797767404440352,8.186318509815506e-07,-0.4,-0.04460087944606755,0.007454473526115395,0.98,-0.09669440457401167,2.33657505192053e-08,-0.32,-0.035065686064250416
61,6.94446301849961e-05,0.48,0.005439792470562753,2.393917108963605e-07,0.18,-0.006051799277160719,6.668220865001557e-05,0.58,0.002658809212977533,2.0313208102713033e-08,-0.28,-0.0033680184666353475
62,3.01597342938246e-05,-0.56,0.04361053622430286,2.912952410161215e-07,0.26,0.08435394368415801,0.003674930648109162,-1.0,0.11323770646109814,1.1423294143893453e-08,0.18,0.07693969936667629
63,4.9979516330994525e-05,-0.34,-0.008300364970676403,2.074377525582553e-08,-0.48,-0.01762693213052223,3.615532227218155e-05,0.34,-0.008401311314742995,1.8466766030187347e-09,-0.1,-0.016714490985284592
64,0.00014604376202455782,-0.58,0.037596344782282194,2.3438042181348168e-07,0.32,0.07521751842725595,0.006837251095755846,-1.0,0.12963892956681503,1.2635804008586592e-08,0.0,0.06657445883663843
65,5.192031714818496e-05,0.02,-0.010222815103334086,1.689453429945877e-07,-0.36,-0.034488082067606805,2.4348824383624385e-05,0.98,-0.014855960791656868,5.104433706812757e-09,-0.08,-0.03146513398024093
66,0.0004981206196734622,0.62,0.008913211117313635,8.484261508176503e-07,0.02,-0.008735574855730757,0.0024747687678350182,0.98,-0.04393795516061536,5.284098251234202e-08,0.12,-0.0030243013920991713
67,0.0016473363112922345,0.56,-0.020376745294024518,5.484372018830123e-06,-0.46,-0.06093378088534781,0.01096272231903195,0.98,-0.1294650642570855,2.1428910062505426e-07,0.1,-0.049750923200184434
68,0.00010139226246110543,-0.12,0.03271136968684328,7.354851299848102e-08,-0.08,0.03645439857512264,9.682482617138801e-05,0.2,0.034188069131876074,4.021262977838459e-09,0.34,0.036557311157081274
69,0.00011964414388999,0.52,0.1184086119913873,9.526863486927419e-07,-0.5,0.05875402544521227,0.006201855206034028,0.98,0.02671685841722554,2.6341951411473977e-08,-0.42,0.06748232268477887
70,0.00030889267608635304,-0.36,0.08681890974577246,1.1584516586557473e-07,0.0,0.09592370955869396,0.00042472969697956504,-1.0,0.09892959570758336,7.641682751699759e-09,-0.18,0.09215153300218094
71,9.517036798948625e-05,-0.06,0.009766778526716395,4.520623358147423e-07,-0.48,-0.0130162345051228,0.00012489431302091638,0.56,0.003227690075130671,1.3764290973437247e-08,-0.56,-0.009332774504876698
72,0.00012964541214455555,0.08,0.026368088240286466,2.6650349942816207e-06,0.04,0.01287285077642066,0.0001299271775941051,0.1,0.026043492506224366,1.633876953993532e-07,0.08,0.013576251658605406
73,8.70346855043347e-05,-0.46,-0.010124861019046106,1.793944818907649e-06,0.2,0.02424107195753117,0.0014341434901660986,-1.0,0.03497674020662969,8.169991602012e-08,0.06,0.017641278026954806
74,9.877234985433301e-05,-0.16,-0.07354705798887579,3.341898035560019e-06,0.9,-0.01460384980058393,0.010254023756735396,-1.0,0.03962003540204489,1.321653204509495e-07,0.04,-0.024566409447979744
75,8.525299985797867e-05,-0.5,0.04055996876362008,6.291087510228633e-07,0.22,0.07466337345293596,0.0011709718057268481,-1.0,0.08221950848252331,2.0956935860125237e-08,0.36,0.06793640380526396
76,0.00043937526853399315,0.08,0.11180735931341108,1.8155169392755444e-06,-0.24,0.09397088923404066,0.00048241488048750514,0.76,0.10755862998631817,8.122877530981123e-08,-0.06,0.09708996337387582
77,0.00010818979124252112,0.1,0.028372182978921485,2.3979665438722716e-06,-0.24,0.004054123715427101,8.507682204803847e-05,0.84,0.02683751990732092,1.3408376947875552e-07,-0.04,0.007615067796821828
78,0.0008785797500813535,-0.14,0.04016651236937094,5.933526921002107e-07,0.16,0.058993428766994725,0.0007917717836184796,-0.82,0.04206696885755512,3.36631082315573e-08,0.14,0.057344580259580065
