,name,logP,EBV,d_BVVI_g,d_VVVI_g,d_IVVI_g,d_JVVI_g,d_HVVI_g,d_KVVI_g,d_BVVI_i,d_VVVI_i,d_IVVI_i,d_JVVI_i,d_HVVI_i,d_KVVI_i
28,CRCep,0.794695,0.794695,0.2843212483583414,0.2556741899671734,0.15544990750004123,0.134288286240772,0.0819589443504109,0.10412125646678785,0.3278815066238902,0.29226059212217853,0.1776944400102845,0.17207942651493596,0.12950346399041734,0.1552642522243426
29,RSCas,0.799056,0.799056,-0.1385088840443309,-0.13008866201695524,-0.0790939065063084,-0.12465305845842808,-0.1297920615237803,-0.11581614556205319,-0.11711329907991097,-0.11222639019505842,-0.06823364523859515,-0.10574981428604979,-0.10530438472478748,-0.08892918539125055
30,RRLac,0.807281,0.807281,-0.347430370116831,-0.2796917772962305,-0.17005260059610755,-0.16933304888601947,-0.14273580885735954,-0.12698988789648227,-0.29577332347090635,-0.2363599891108784,-0.143706873379413,-0.12434315238231786,-0.08577417915602714,-0.06543822893614759
31,XXSgr,0.807815,0.807815,-0.046857175651656806,0.01800102160684848,0.01094462113696476,0.014509528355758236,0.023599179162333665,0.03625393356318762,-0.059783564435013745,0.007020913381175123,0.004268715335755353,0.003684590738858823,0.010785892067788336,0.023093835773490626
32,BBSgr,0.821971,0.821971,0.10856777470054531,0.07033423100159235,0.04276321244896798,0.04450206286996017,0.03923110087552264,0.011335591952739303,0.11040360444524272,0.07206615891171164,0.0438162246183203,0.045494030555084664,0.03923682456223715,0.010380879073880245
33,VCar,0.82586,0.82586,0.04671246383127474,0.010438471061352282,0.006346590405301757,0.002643850764093448,-0.0007446220411364141,-0.025084188482224743,0.0775087379813309,0.0361926919008162,0.022005156675696136,0.02971451942102965,0.034042703451373446,0.012900777811567898
34,V0495Cyg,0.827263,0.827263,-0.23060847430449405,-0.20001636337703477,-0.12160994893323784,-0.1729666705022786,-0.17301641881037955,-0.16347367454498285,-0.1990889041656514,-0.1724198663553964,-0.1048312787440826,-0.14917233169838173,-0.15042385422977045,-0.14485069468409906
35,USgr,0.828997,0.828997,0.07996524590352816,0.05256680044075374,0.03196061466797819,0.045119216384302406,0.05138947898777637,0.03838883909271651,0.08075359664639925,0.05333085058310649,0.03242515715452918,0.04548095697281887,0.05117829052976766,0.037646300443208575
36,TWCMa,0.844792,0.844792,-0.01015573555247809,0.014081709212233146,0.008561679201037675,0.04689260949716806,0.04649212970891667,0.054708583973143515,-0.017737576182303205,0.007216425409418359,0.004387586648926023,0.04188706410149001,0.043445832125571626,0.053946414623961436
37,xSgr,0.845893,0.845893,-0.49228509539775706,-0.33354937932454237,-0.20279802262932214,-0.15146552327173915,-0.10463271867056932,-0.10743138868498361,-0.4911336423807976,-0.3325957404716645,-0.20221821020677272,-0.1504239814566468,-0.10323430177169268,-0.10585901166405247
