,Unnamed: 0,gal,name,overtone,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,gplx,IRSB,EBV,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H],Mb_1,Mv_1,Mi_1,Mj_1,Mh_1,Mk_1,Wvi_1,Wjk_1,Radius_IRSB,Teq,Mass,mu,rd
45,48,MW,BKAur,0,0.903222,10.524,9.457,8.249,7.387,6.885,6.772,9.716227,9.128825,8.322496,11.677938427875784,11.207,0.425,0.6489,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,3,1.007,-0.0671,-2.481,-3.122,-3.793,-4.221,-4.57,-4.598,-4.831,-4.858,38.3,5733.0,2.0,-0.04906157212421469,-0.00016570826930689675
46,49,MW,RSCas,0,0.799056,11.423,9.944,8.217,6.884,6.227,6.03,10.305975,9.329637,8.343407,10.872222441629962,10.485,0.833,1.2549,Gaia DR3 2015820463470505600,354.31690503772,62.42898845585,4,1.045,-0.1898,-2.587,-3.232,-3.904,-4.386,-4.745,-4.775,-4.947,-5.042,42.2,5628.0,3.3,-0.032777558370037596,-0.0007341533796962896
47,50,MW,V0600Aql,0,0.859672,11.527,10.036,8.199,7.074,6.45,6.272,10.304283,9.388953,8.407346,11.259348318024385,11.325,0.798,0.0043,Gaia DR3 4307944836090489600,290.25978306915,8.51632750768,4,1.126,-0.2468,-3.174,-3.868,-4.693,-5.004,-5.341,-5.36,-5.975,-5.604,54.6,5710.0,4.8,-0.025651681975615404,-0.00257929828532244
48,51,MW,VXCyg,0,1.303917,11.769,10.062,8.161,6.816,6.083,5.905,10.519523,9.421895,8.398459,12.23020280080577,12.263,0.753,1.2215,Gaia DR3 1873250780732545920,314.33678002732,40.17748649759,3,0.998,0.163,-3.68,-4.636,-5.581,-6.158,-6.621,-6.648,-7.051,-6.985,107.7,5047.0,5.7,-0.03279719919422952,-0.0021270641654062006
49,52,MW,ASPer,0,0.696531,11.02,9.719,8.09,7.035,6.478,6.315,10.073069,9.226171,8.296702,10.814865478528557,10.969,0.679,1.2495,Gaia DR3 270272675510149504,64.94524474253,48.95326102831,5,1.079,-0.3998,-2.822,-3.443,-4.213,-4.574,-4.888,-4.914,-5.407,-5.149,44.5,5730.0,5.0,0.005865478528557233,-0.003291666566291318
50,53,MW,VYCyg,0,0.895256,10.822,9.582,8.079,7.102,6.548,6.396,9.990324,9.205185,8.323429,11.429397374880352,11.342,0.606,,Gaia DR3 1873112207907294848,316.06930218182,39.97223311596,5,1.073,,-3.084,-3.721,-4.454,-4.812,-5.148,-5.179,-5.595,-5.431,50.1,5747.0,3.6,-0.032602625119649176,-0.0014655529719781457
51,54,MW,ZSct,0,1.110645,10.927,9.592,8.055,7.055,6.478,6.323,10.054388,9.223479,8.362758,12.066442294122076,12.159,0.492,0.4921,Gaia DR3 4253435825622331392,280.7386394805,-5.82091281592,3,0.903,-0.5432,-3.314,-4.157,-5.07,-5.568,-5.968,-6.025,-6.487,-6.339,79.6,5199.0,5.2,-0.05255770587792341,-0.0009352226581936796
52,55,MW,KNCen,0,1.531857,11.468,9.856,7.996,6.517,5.756,5.49,10.297581,9.240802,8.212314,12.70949627515709,12.974,0.791,,Gaia DR3 5864135319959353600,204.15365781403,-64.55831585329,3,1.034,,-4.853,-5.676,-6.532,-7.203,-7.681,-7.788,-7.863,-8.19,185.8,4930.0,9.5,-0.10450372484291037,0.003037167920186823
53,56,MW,FMCas,0,0.764123,10.119,9.128,7.978,7.223,6.746,6.638,9.334805,8.797508,8.054358,11.492937268073236,11.212,0.325,0.4114,Gaia DR3 422226488141991296,3.61765603372,56.25293038823,3,1.081,-0.0682,-2.468,-3.134,-3.872,-4.295,-4.656,-4.699,-5.017,-4.977,40.9,5604.0,3.4,-0.039062731926764016,-0.00024613141919310744
54,57,MW,WZCar,0,1.361977,10.427,9.266,7.963,7.009,6.456,6.29,9.702198,8.997776,8.172882,12.483841530446382,12.68,0.372,0.7831,Gaia DR3 5338182833266967680,163.8279757782,-60.93997649537,2,1.376,-0.1606,-3.828,-4.613,-5.447,-6.022,-6.441,-6.533,-6.737,-6.884,101.1,5143.0,4.2,-0.0961584695536164,0.0021662018564210794
55,58,MW,VZCyg,0,0.687034,9.836,8.956,7.933,7.283,6.872,6.759,9.251616,8.745005,8.053975,11.162505097664257,11.588,0.266,0.5206,Gaia DR3 1960750328384177408,327.92264896468,43.13402308887,1,1.314,-0.2581,-2.877,-3.491,-4.178,-4.556,-4.872,-4.931,-5.243,-5.189,44.6,5779.0,5.2,-0.0454949023357436,7.54947798377037e-05
56,59,MW,CRCep,0,0.794695,11.048,9.655,7.929,6.754,6.098,5.935,9.933943,9.031693,8.090185,10.66520836988451,10.107,0.709,,Gaia DR3 2008504454839717120,341.60317447817,59.44218743844,2,1.056,,-2.059,-2.742,-3.57,-4.022,-4.423,-4.445,-4.854,-4.736,37.0,5432.0,2.5,-0.04179163011548859,-0.0006026795438544008
57,60,MW,VXPer,0,1.036883,10.492,9.299,7.919,6.98,6.437,6.298,9.593902,8.893997,8.042476,11.836746421977784,12.957,0.475,0.8165,Gaia DR3 506779550797525760,31.95200190538,58.44353350743,5,1.122,-0.2182,-4.475,-5.193,-5.971,-6.425,-6.797,-6.841,-7.178,-7.128,110.5,5498.0,13.1,-0.08025357802221578,-5.43537252327142e-05
58,61,MW,MWCyg,0,0.774852,10.841,9.483,7.874,6.799,6.209,6.041,9.850045,9.016481,8.090841,11.199703416360896,10.428,0.635,0.9076,Gaia DR3 2055014277739104896,303.09510555228,32.87159966536,4,1.208,-2.2118,-2.274,-2.995,-3.801,-4.228,-4.591,-4.631,-5.05,-4.908,40.1,5508.0,3.2,-0.028296583639106032,-0.0011905485459532406
