,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,DR3Name,RAdeg,DEdeg,RUWE,RA_ICRS,DE_ICRS,QLT,Mvpl,Mipl,Mjpl,Mkpl,Wvipl
80,57,SZ Aql,1.234029,11.548,0.534,10.033,8.634,7.018,5.955,5.347,5.16,-3.774,-4.641,-5.578,-6.096,-6.513,-6.593,-7.036,-6.935,Gaia DR3 4267549637851481344,286.16423460279,1.30614320294,0.94,286.16423460279,1.30614320294,2,-4.610338,-5.4772787,-5.977516,-6.4004326,-6.6553764
81,2,AA Ser,1.234041,11.97,1.046,14.396,12.238,9.571,7.706,6.78,6.527,-2.0,-3.11,-4.453,-5.251,-5.801,-5.845,-6.535,-6.254,Gaia DR3 4260210878780635904,280.3406709082,-1.11123399344,0.952,280.3406709082,-1.11123399344,2,-4.6103706,-5.4773135,-5.977554,-6.400471,-6.655416
82,15,CP Cep,1.251989,12.684,0.649,12.223,10.577,8.773,7.457,6.726,6.537,-3.207,-4.204,-5.186,-5.839,-6.337,-6.396,-6.71,-6.779,Gaia DR3 2198162651499971200,329.46951559015,56.16388559015,1.009,329.46951559015,56.16388559015,2,-4.658651,-5.52956,-6.034198,-6.4587483,-6.7150035
83,20,CT Car,1.256661,14.995,0.57,12.182,12.226,10.931,9.467,8.792,8.578,-5.224,-4.611,-5.184,-6.066,-6.537,-6.636,-6.074,-7.029,Gaia DR3 5253717937706836480,159.23232981378,-61.58130906345,0.834,159.23232981378,-61.58130906345,3,-4.6712184,-5.5431604,-6.0489426,-6.4739184,-6.7305145
84,89,VY Car,1.276818,11.255,0.242,8.642,7.463,6.28,5.463,4.945,4.806,-3.637,-4.573,-5.45,-6.02,-6.452,-6.542,-6.809,-6.9,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,0.916,161.13616016361,-57.56535723495,1,-4.725441,-5.6018376,-6.112558,-6.539368,-6.7974358
85,40,RU Sct,1.29448,11.75,0.911,11.126,9.487,7.371,5.777,5.315,5.072,-4.479,-5.207,-6.168,-6.832,-6.968,-7.028,-7.66,-7.162,Gaia DR3 4258436301367796480,280.48492497805,-4.11066312434,0.867,280.48492497805,-4.11066312434,3,-4.7729516,-5.6532516,-6.168299,-6.5967164,-6.8560734
86,88,VX Cyg,1.303917,12.263,0.753,11.769,10.062,8.161,6.816,6.083,5.905,-3.68,-4.636,-5.581,-6.158,-6.621,-6.648,-7.051,-6.985,Gaia DR3 1873250780732545920,314.33678002732,40.17748649759,0.998,314.33678002732,40.17748649759,3,-4.798337,-5.6807227,-6.1980824,-6.627359,-6.8874044
87,44,RY Sco,1.307927,10.258,0.718,9.462,8.018,6.255,4.999,4.365,4.143,-3.834,-4.56,-5.414,-5.936,-6.312,-6.391,-6.739,-6.704,Gaia DR3 4041690364529590144,267.71811125846,-33.70567624871,0.733,267.71811125846,-33.70567624871,2,-4.809124,-5.6923957,-6.210738,-6.640379,-6.9007177
88,46,RZ Vel,1.309564,10.605,0.3,8.216,7.09,5.867,4.979,4.46,4.308,-3.658,-4.489,-5.327,-5.909,-6.321,-6.412,-6.634,-6.758,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,1.244,129.2554000675,-44.1146536029,2,-4.8135276,-5.697161,-6.215904,-6.6456943,-6.9061522
89,93,WZ Sgr,1.339443,11.21,0.435,9.424,8.03,6.497,5.404,4.765,4.568,-3.626,-4.586,-5.567,-6.216,-6.699,-6.81,-7.089,-7.218,Gaia DR3 4094784475310672128,274.24882157138,-19.07583147548,0.944,274.24882157138,-19.07583147548,2,-4.893902,-5.7841387,-6.310202,-6.7427115,-7.0053506
90,92,WZ Car,1.361977,12.68,0.372,10.427,9.266,7.963,7.009,6.456,6.29,-3.828,-4.613,-5.447,-6.022,-6.441,-6.533,-6.737,-6.884,Gaia DR3 5338182833266967680,163.8279757782,-60.93997649537,1.376,163.8279757782,-60.93997649537,2,-4.9545183,-5.8497353,-6.3813195,-6.8158793,-7.0801635
91,91,VZ Pup,1.364945,13.249,0.455,10.793,9.634,8.305,7.373,6.83,6.67,-4.381,-5.093,-5.837,-6.306,-6.685,-6.754,-7.005,-7.062,Gaia DR3 5600052040150252800,114.64681824177,-28.49960082926,1.237,114.64681824177,-28.49960082926,1,-4.9625025,-5.8583755,-6.390687,-6.8255167,-7.0900173
92,54,SW Vel,1.370016,11.976,0.344,9.281,8.128,6.844,5.931,5.39,5.231,-4.15,-4.96,-5.808,-6.369,-6.787,-6.877,-7.124,-7.227,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,1.049,130.91118029355,-47.4030901241,3,-4.9761434,-5.873137,-6.4066906,-6.841982,-7.106853
93,96,XP up,1.414321,12.192,0.421,9.702,8.507,7.107,6.18,5.6,5.431,-4.271,-5.05,-5.911,-6.409,-6.838,-6.923,-7.256,-7.276,Gaia DR3 5620098679741674496,113.19596459365,-20.90968216106,1.038,113.19596459365,-20.90968216106,2,-5.0953236,-6.0021086,-6.5465174,-6.9858403,-7.2539454
94,45,RY Vel,1.449158,11.812,0.545,9.744,8.371,6.834,5.7,5.123,4.928,-4.374,-5.2,-6.048,-6.626,-7.008,-7.093,-7.361,-7.415,Gaia DR3 5355057622307185280,155.17091157355,-55.32138032787,1.075,155.17091157355,-55.32138032787,3,-5.1890354,-6.103519,-6.6564627,-7.098956,-7.3696046
95,32,KQ Sco,1.457818,12.204,0.869,11.747,9.81,7.658,6.025,5.218,4.947,-4.134,-5.201,-6.252,-6.998,-7.494,-7.591,-7.884,-7.999,Gaia DR3 5964193485048327808,252.91060533045,-45.42670590081,0.909,252.91060533045,-45.42670590081,3,-5.212331,-6.128729,-6.683794,-7.127075,-7.398356
96,4,AQ Pup,1.478624,12.544,0.518,10.081,8.705,7.14,6.102,5.483,5.299,-4.655,-5.519,-6.422,-6.93,-7.364,-7.444,-7.832,-7.797,Gaia DR3 5597379741549105280,119.59202293226,-29.13008221932,1.18,119.59202293226,-29.13008221932,2,-5.2682986,-6.189295,-6.7494574,-7.194632,-7.4674315
97,31,KN Cen,1.531857,12.974,0.791,11.468,9.856,7.996,6.517,5.756,5.49,-4.853,-5.676,-6.532,-7.203,-7.681,-7.788,-7.863,-8.19,Gaia DR3 5864135319959353600,204.15365781403,-64.55831585329,1.034,204.15365781403,-64.55831585329,3,-5.4114957,-6.344256,-6.917461,-7.36748,-7.644165
98,69,UC ar,1.58897,10.752,0.263,7.469,6.292,5.057,4.193,3.67,3.522,-4.396,-5.31,-6.211,-6.807,-7.236,-7.331,-7.61,-7.69,Gaia DR3 5338359442320395904,164.45072523345,-59.73217920344,1.229,164.45072523345,-59.73217920344,2,-5.5651293,-6.510512,-7.0977097,-7.5529256,-7.8337803
99,39,RS Pup,1.61742,11.307,0.457,8.442,7.01,5.489,4.44,3.827,3.647,-4.798,-5.775,-6.715,-7.298,-7.747,-7.836,-8.177,-8.206,Gaia DR3 5546476927338700416,123.26754647233,-34.57851289632,1.157,123.26754647233,-34.57851289632,2,-5.6416597,-6.59333,-7.1874976,-7.645303,-7.928234
100,51,SV Vul,1.652569,11.418,0.462,8.7,7.213,5.67,4.668,4.09,3.93,-4.673,-5.7,-6.656,-7.185,-7.598,-7.666,-8.141,-7.997,Gaia DR3 2027951173435143680,297.87876412857,27.46020619101,1.203,297.87876412857,27.46020619101,3,-5.736211,-6.695649,-7.298428,-7.759432,-8.0449295
101,29,GY Sge,1.708102,12.34,1.31,12.442,10.163,7.5,5.723,4.889,4.596,-5.441,-6.408,-7.413,-7.853,-8.217,-8.247,-8.97,-8.518,Gaia DR3 1825211056159949440,293.80677127848,19.2023880239,0.95,293.80677127848,19.2023880239,2,-5.885595,-6.857305,-7.47369,-7.9397473,-8.229299
102,52,SV ul,1.837426,12.999,0.787,10.85,8.961,6.941,5.536,4.832,4.6,-5.479,-6.58,-7.604,-8.206,-8.627,-8.702,-9.191,-9.043,Gaia DR3 2027971514401523456,297.09917637974,27.2864809379,1.035,297.09917637974,27.2864809379,3,-6.233476,-7.2337675,-7.881837,-8.359662,-8.658654
