name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,BPmag,Gmag,"RPmag ",IRSB,gplx,EBV,E(BP-RP),Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,Radius_IRSB,Teq,Teff,RUWE,QLT,[Fe/H],Mass,RA_ICRS,DE_ICRS,DR3Name,ID,GDR3_Source,RA,DEC,Period,logP_2,distance,sig_distance,Radius,sig_Radius,mM0,sig_mM0,Mbol,M_B,M_V,M_I,M_J,M_H,M_K,W_VI,W_JK,W_G,EBV_2,RV_gamma,ph_shift,gal,MODE,Quality,FeH
YZAur,1.259902,11.716,10.349,8.951,6.906,7.605,6.732,10.813904,9.882999,8.947021,13.138,12.859470664965789,0.538,,-3.698,-4.529,,-6.04,-6.547,-6.613,,-7.006,102.6,4972.0,,0.987,3,,5.9,78.84159556243,40.07802053944,Gaia DR3 188724234539584256,YZAur,188724234539584256,78.84159,40.07802,18.192902,1.259902,4275.3,81.1,105.9,2.0,13.155,0.041,-4.762,-3.715,-4.545,,-6.057,-6.564,-6.63,,-7.023,-6.8190784,0.538,-10.73,-0.03,MW,FU,3.0,-0.329
VYCar,1.276818,8.642,7.463,6.28,4.945,5.463,4.806,8.046384,7.337772,6.535224,11.344,11.096359923379694,0.242,,-3.726,-4.662,-5.539,-6.109,-6.541,-6.631,-6.898,-6.989,102.1,5090.0,,0.916,1,,5.5,161.13616016361,-57.56535723495,Gaia DR3 5351161399793209984,VYCar,5351161399793209984,161.13621,-57.56537,18.91551,1.276818,1870.7,23.9,105.1,1.3,11.36,0.028,-4.85,-3.742,-4.678,-5.555,-6.125,-6.557,-6.647,-6.914,-7.005,-6.8934317,0.242,1.56,-0.6,MW,FU,1.0,0.055
RUSct,1.29448,11.126,9.487,7.371,5.315,5.777,5.072,9.898445,8.713349,7.6229463,11.834,11.260624817506708,0.911,0.7365,-4.563,-5.29,-6.252,-6.916,-7.052,-7.112,-7.744,-7.246,125.4,5250.0,4437.4,0.867,3,0.2185,8.2,280.48492497805,-4.11066312434,Gaia DR3 4258436301367796480,RUSct,4258436301367796480,280.48492,-4.11066,19.700626,1.29448,2096.7,53.9,114.6,3.0,11.608,0.056,-5.183,-4.337,-5.064,-6.026,-6.69,-6.826,-6.886,-7.518,-7.02,-7.218099,0.911,-3.22,-0.035,MW,FU,3.0,0.087
VXCyg,1.303917,11.769,10.062,8.161,6.083,6.816,5.905,10.519523,9.421895,8.398459,12.343,12.23020280080577,0.753,1.2215,-3.76,-4.716,-5.661,-6.238,-6.701,-6.728,-7.131,-7.065,107.7,5047.0,5539.5,0.998,3,0.163,5.7,314.33678002732,40.17748649759,Gaia DR3 1873250780732545920,VXCyg,1873250780732545920,314.33679,40.1775,20.133396,1.303917,2962.4,87.6,110.4,3.3,12.358,0.064,-4.92,-3.775,-4.731,-5.676,-6.253,-6.716,-6.743,-7.146,-7.08,-6.966125,0.753,-16.39,-0.005,MW,FU,3.0,0.081
RYSco,1.307927,9.462,8.018,6.255,4.365,4.999,4.143,8.513703,7.489791,6.469171,10.337,10.476692647650534,0.718,,-3.913,-4.639,-5.493,-6.015,-6.391,-6.47,-6.818,-6.783,92.9,5253.0,,0.733,2,,4.1,267.71811125846,-33.70567624871,Gaia DR3 4041690364529590144,RYSco,4041690364529590144,267.7181,-33.70567,20.320158,1.307927,1176.2,15.3,95.2,1.2,10.352,0.028,-4.773,-3.928,-4.654,-5.508,-6.03,-6.406,-6.485,-6.833,-6.798,-6.7468185,0.718,-17.67,-0.045,MW,FU,2.0,0.067
RZVel,1.309564,8.216,7.09,5.867,4.46,4.979,4.308,7.60386,6.850103,6.022648,10.684,10.793705173405876,0.3,0.693,-3.737,-4.568,-5.406,-5.988,-6.4,-6.491,-6.713,-6.837,95.7,5136.0,5227.3,1.244,2,-0.9696,4.4,129.2554000675,-44.1146536029,Gaia DR3 5523162573544337408,RZVel,5523162573544337408,129.25543,-44.11468,20.396893,1.309564,1379.4,14.2,98.0,1.0,10.698,0.022,-4.739,-3.751,-4.583,-5.42,-6.002,-6.414,-6.505,-6.727,-6.851,-6.8521996,0.3,24.18,0.005,MW,FU,2.0,0.048
WZSgr,1.339443,9.424,8.03,6.497,4.765,5.404,4.568,8.565777,7.682094,6.786537,11.279,10.967760656251567,0.435,0.6122,-3.695,-4.656,-5.636,-6.285,-6.768,-6.879,-7.158,-7.287,119.6,4829.0,4696.3,0.944,2,-0.9491,6.5,274.24882157138,-19.07583147548,Gaia DR3 4094784475310672128,WZSgr,4094784475310672128,274.24882,-19.07582,21.849575,1.339443,1813.7,30.1,121.9,2.0,11.293,0.036,-4.942,-3.709,-4.669,-5.65,-6.299,-6.782,-6.893,-7.172,-7.301,-6.9914618,0.435,-17.58,0.005,MW,FU,2.0,0.273
BMPer,1.360896,12.21,10.401,8.214,6.012,6.8,5.773,10.963252,9.701406,8.599287,12.275,12.166066800810436,0.871,,-3.751,-4.69,,-6.297,-6.773,-6.837,,-7.209,119.4,4860.0,,0.991,2,,6.1,67.4141211273,48.42196837944,Gaia DR3 258412862056729472,BMPer,258412862056729472,67.41412,48.42198,22.955986,1.360896,2500.2,147.6,104.7,6.2,11.99,0.128,-4.653,-3.466,-4.404,,-6.012,-6.488,-6.552,,-6.924,-6.780124,0.871,-40.83,-0.075,MW,FU,2.0,0.093
WZCar,1.361977,10.427,9.266,7.963,6.456,7.009,6.29,9.702198,8.997776,8.172882,12.742,12.483841530446382,0.372,0.7831,-3.89,-4.676,-5.509,-6.084,-6.503,-6.595,-6.799,-6.946,101.1,5143.0,5451.5,1.376,2,-0.1606,4.2,163.8279757782,-60.93997649537,Gaia DR3 5338182833266967680,WZCar,5338182833266967680,163.82803,-60.93999,23.013195,1.361977,3555.9,108.1,102.6,3.1,12.755,0.066,-4.845,-3.903,-4.689,-5.522,-6.097,-6.516,-6.608,-6.812,-6.959,-6.6629243,0.372,-14.81,0.0,MW,FU,2.0,0.01
VZPup,1.364945,10.793,9.634,8.305,6.83,7.373,6.67,10.091524,9.341325,8.493485,13.31,12.961635670716461,0.455,0.7051,-4.442,-5.154,-5.898,-6.367,-6.746,-6.815,-7.066,-7.123,108.4,5448.0,5359.6,1.237,1,-0.3459,4.9,114.64681824177,-28.49960082926,Gaia DR3 5600052040150252800,VZPup,5600052040150252800,114.64683,-28.49961,23.171013,1.364945,4067.0,114.3,96.0,2.7,13.046,0.061,-4.97,-4.178,-4.89,-5.634,-6.103,-6.482,-6.551,-6.802,-6.859,-6.740948,0.455,63.47,-0.075,MW,FU,1.0,-0.17
SWVel,1.370016,9.281,8.128,6.844,5.39,5.931,5.231,8.536652,7.787433,6.929191,12.036,11.74250303919865,0.344,,-4.21,-5.02,-5.868,-6.429,-6.847,-6.937,-7.184,-7.287,117.6,5157.0,,1.049,3,,5.7,130.91118029355,-47.4030901241,Gaia DR3 5329352998951582976,SWVel,5329352998951582976,130.91121,-47.40311,23.443153,1.370016,2568.8,34.3,119.2,1.6,12.049,0.029,-5.182,-4.223,-5.033,-5.881,-6.442,-6.86,-6.95,-7.197,-7.3,-7.3157415,0.344,24.07,-0.02,MW,FU,3.0,-0.039
XPup,1.414321,9.702,8.507,7.107,5.6,6.18,5.431,9.122233,8.347651,7.4251447,12.238,11.818070902897958,0.421,,-4.317,-5.095,-5.957,-6.455,-6.884,-6.969,-7.302,-7.322,120.5,5188.0,,1.038,2,,5.3,113.19596459365,-20.90968216106,Gaia DR3 5620098679741674496,XPup,5620098679741674496,113.19597,-20.90969,25.960972,1.414321,2705.6,40.7,116.2,1.8,12.161,0.033,-5.159,-4.24,-5.019,-5.88,-6.378,-6.807,-6.892,-7.225,-7.245,-7.0378156,0.421,71.14,-0.095,MW,FU,2.0,0.002
TMon,1.431915,7.307,6.128,4.98,3.652,4.183,3.525,6.798715,6.124317,5.286486,10.585,10.593288288206026,0.179,0.2646,-4.035,-5.036,-5.957,-6.571,-7.038,-7.129,-7.386,-7.512,133.5,4958.0,4865.6,1.724,2,-0.1455,6.3,96.30416910585,7.08569727313,Gaia DR3 3324535073449061504,TMon,3324535073449061504,96.30417,7.08571,27.034296,1.431915,1315.4,18.8,134.1,1.9,10.595,0.031,-5.264,-4.045,-5.046,-5.967,-6.581,-7.048,-7.139,-7.396,-7.522,-7.343918,0.179,20.25,0.0,MW,FU,2.0,0.203
RYVel,1.449158,9.744,8.371,6.834,5.123,5.7,4.928,8.770825,7.879678,6.983576,11.847,11.955188031554531,0.545,,-4.409,-5.235,-6.083,-6.661,-7.043,-7.128,-7.396,-7.45,130.2,5171.0,,1.075,3,,5.6,155.17091157355,-55.32138032787,Gaia DR3 5355057622307185280,RYVel,5355057622307185280,155.17096,-55.3214,28.12924,1.449158,2351.3,36.8,130.3,2.0,11.857,0.034,-5.387,-4.419,-5.245,-6.093,-6.671,-7.053,-7.138,-7.406,-7.46,-7.3730965,0.545,-10.73,0.0,MW,FU,3.0,0.063
KQSco,1.457818,11.747,9.81,7.658,5.218,6.025,4.947,10.256292,8.963354,7.867073,12.237,11.484080204997342,0.869,1.6617,-4.167,-5.234,-6.285,-7.031,-7.527,-7.624,-7.917,-8.032,176.9,4663.0,5970.8,0.909,3,-0.0953,10.6,252.91060533045,-45.42670590081,Gaia DR3 5964193485048327808,KQSco,5964193485048327808,252.91061,-45.4267,28.695778,1.457818,2813.0,95.5,176.9,6.0,12.246,0.074,-5.597,-4.176,-5.243,-6.294,-7.04,-7.536,-7.633,-7.926,-8.041,-7.8221626,0.869,-25.3,-0.025,MW,FU,3.0,0.347
AQPup,1.478624,10.081,8.705,7.14,5.483,6.102,5.299,9.253232,8.315241,7.36962,12.57,12.415260552745407,0.518,0.6648,-4.681,-5.545,-6.448,-6.956,-7.39,-7.47,-7.858,-7.823,152.7,5147.0,4386.9,1.18,2,0.3209,7.3,119.59202293226,-29.13008221932,Gaia DR3 5597379741549105280,AQPup,5597379741549105280,119.59204,-29.13009,30.103985,1.478624,3278.0,56.9,152.2,2.6,12.578,0.038,-5.703,-4.689,-5.553,-6.456,-6.964,-7.398,-7.478,-7.866,-7.831,-7.8416243,0.518,61.93,-0.255,MW,FU,2.0,0.049
KNCen,1.531857,11.468,9.856,7.996,5.756,6.517,5.49,10.297581,9.240802,8.212314,12.983,12.70949627515709,0.791,,-4.862,-5.685,-6.541,-7.212,-7.69,-7.797,-7.872,-8.199,185.8,4930.0,,1.034,3,,9.5,204.15365781403,-64.55831585329,Gaia DR3 5864135319959353600,KNCen,5864135319959353600,204.15373,-64.55831,34.029617,1.531857,3960.8,84.1,183.5,3.9,12.989,0.046,-5.92,-4.868,-5.691,-6.547,-7.218,-7.696,-7.803,-7.878,-8.205,-7.710206,0.791,-41.86,0.045,MW,FU,3.0,0.399
lCar,1.550816,5.009,3.729,2.557,1.212,1.766,1.093,4.179304,3.471174,2.6760821,8.496,8.496721691503382,0.146,0.474,-4.105,-5.238,-6.226,-6.867,-7.37,-7.459,-7.756,-7.866,160.9,4835.0,5488.4,2.393,2,-0.0584,6.6,146.31159319123,-62.50786736246,Gaia DR3 5250032958818831360,lCar,5250032958818831360,146.31171,-62.5079,35.54807,1.550816,501.4,5.3,158.4,1.7,8.501,0.023,-5.516,-4.11,-5.244,-6.231,-6.872,-7.375,-7.464,-7.761,-7.871,-7.8859463,0.146,3.75,-0.03,MW,FU,2.0,0.089
UCar,1.58897,7.469,6.292,5.057,3.67,4.193,3.522,6.809177,6.157681,5.338781,10.743,11.122760074756943,0.263,0.3809,-4.387,-5.3,-6.202,-6.798,-7.227,-7.322,-7.601,-7.681,147.1,5043.0,4868.4,1.229,2,-1.2903,4.9,164.45072523345,-59.73217920344,Gaia DR3 5338359442320395904,UCar,5338359442320395904,164.45078,-59.73219,38.812355,1.58897,1410.3,16.6,143.9,1.7,10.747,0.025,-5.492,-4.391,-5.304,-6.206,-6.802,-7.231,-7.326,-7.605,-7.685,-7.383073,0.263,1.47,-0.025,MW,FU,2.0,0.086
RSPup,1.61742,8.442,7.01,5.489,3.827,4.44,3.647,7.594005,6.638235,5.7406473,11.288,11.05487314490565,0.457,,-4.779,-5.756,-6.696,-7.279,-7.728,-7.817,-8.158,-8.187,186.1,5004.0,,1.157,2,,7.5,123.26754647233,-34.57851289632,Gaia DR3 5546476927338700416,RSPup,5546476927338700416,123.26757,-34.57853,41.440025,1.61742,1812.3,30.6,181.2,3.1,11.291,0.037,-5.959,-4.782,-5.759,-6.699,-7.282,-7.731,-7.82,-8.161,-8.19,-8.174146,0.457,24.63,0.035,MW,FU,2.0,0.217
SVVul,1.652569,8.7,7.213,5.67,4.09,4.668,3.93,7.790675,6.809188,5.891954,11.388,11.8154976151152,0.462,,-4.643,-5.67,-6.626,-7.155,-7.568,-7.636,-8.111,-7.967,171.0,5092.0,,1.203,3,,5.6,297.87876412857,27.46020619101,Gaia DR3 2027951173435143680,SVVul,2027951173435143680,297.87878,27.46023,44.933384,1.652569,1896.2,15.2,165.6,1.3,11.389,0.017,-5.839,-4.644,-5.671,-6.627,-7.156,-7.569,-7.637,-8.112,-7.968,-8.187384,0.462,-1.09,0.0,MW,FU,3.0,0.108
GYSge,1.708102,12.442,10.163,7.5,4.889,5.723,4.596,10.446804,8.8266,7.660206,12.292,12.114431411927002,1.31,1.7857,-5.393,-6.36,-7.365,-7.805,-8.169,-8.199,-8.922,-8.47,217.5,5253.0,5253.6,0.95,2,-0.08,8.0,293.80677127848,19.2023880239,Gaia DR3 1825211056159949440,GYSge,1825211056159949440,293.80678,19.20241,51.06249,1.708102,2872.0,34.5,208.5,2.5,12.291,0.026,-6.476,-5.392,-6.359,-7.364,-7.804,-8.168,-8.198,-8.921,-8.469,-8.758937,1.31,16.07,-0.025,MW,FU,2.0,0.193
SVul,1.837426,10.85,8.961,6.941,4.832,5.536,4.6,9.310813,8.151961,7.080046,12.908,12.882775885631403,0.787,,-5.388,-6.489,-7.513,-8.115,-8.536,-8.611,-9.1,-8.952,280.5,4939.0,,1.035,3,,9.5,297.09917637974,27.2864809379,Gaia DR3 2027971514401523456,SVul,2027971514401523456,297.09919,27.28651,68.77428,1.837426,3823.3,48.8,264.4,3.4,12.912,0.028,-6.722,-5.392,-6.493,-7.517,-8.119,-8.54,-8.615,-9.104,-8.956,-8.998495,0.787,1.71,-0.52,MW,FU,3.0,0.089
