name,logP,B_mag,V_mag,I_mag,K_mag,IRSB,sig_mM0_IRSB,Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,EBV,sig_EBV,J_mag,H_mag,dist_IRSB,sig_dist_IRSB
V0508Mon,0.616329,11.057,10.5,9.459,8.193,13.005,0.114,-3.247,-3.497,-4.149,-4.577,-4.909,-4.93,-5.161,-5.173,0.307,0.02,8.717,8.275,3990.6,210.3
V0600Aql,0.859672,11.527,10.036,8.199,6.272,11.139,0.036,-2.988,-3.683,-4.507,-4.818,-5.155,-5.174,-5.789,-5.418,0.798,0.02,7.074,6.45,1690.0,28.2
V0916Aql,1.128449,12.574,10.791,8.896,6.581,12.481,0.031,-4.515,-5.205,-5.724,-6.022,-6.35,-6.319,-6.524,-6.522,1.089,0.02,7.486,6.767,3135.3,45.1
V1162Aql,0.730464,8.677,7.789,6.845,5.714,9.984,0.057,-2.133,-2.824,-3.522,-3.948,-4.291,-4.345,-4.602,-4.618,0.195,0.02,6.22,5.807,992.4,26.3
V1344Aql,0.873787,9.131,7.766,6.311,4.59,10.969,0.127,-4.148,-4.967,-5.73,-6.205,-6.559,-6.589,-6.915,-6.853,0.546,0.02,5.279,4.729,1562.5,91.6
V340Nor,1.052579,9.526,8.371,7.168,5.586,11.19,0.099,-3.026,-3.86,-4.654,-5.222,-5.646,-5.728,-5.887,-6.076,0.322,0.02,6.272,5.732,1730.2,79.2
V350Sgr,0.712165,8.382,7.474,6.416,5.165,9.982,0.055,-2.865,-3.475,-4.153,-4.552,-4.9,-4.932,-5.208,-5.193,0.299,0.02,5.712,5.257,991.6,25.2
V496Aql,0.832958,8.901,7.753,7.745,5.04,9.587,0.068,-2.366,-3.117,-2.622,-4.314,-4.67,-4.7,-1.854,-4.965,0.397,0.02,5.647,5.15,826.7,25.9
VCar,0.82586,8.235,7.368,6.421,5.284,9.695,0.04,-2.162,-2.864,-3.6,-4.046,-4.405,-4.474,-4.743,-4.769,0.166,0.02,5.806,5.387,869.0,16.1
VCen,0.739882,7.705,6.834,5.796,4.509,9.041,0.068,-2.58,-3.157,-3.823,-4.245,-4.585,-4.645,-4.856,-4.92,0.294,0.02,5.073,4.628,642.9,20.3
VLac,0.697493,9.816,8.921,7.866,6.587,11.321,0.043,-2.923,-3.483,-4.113,-4.516,-4.846,-4.863,-5.091,-5.102,0.335,0.02,7.121,6.671,1837.4,36.6
VWCen,1.177138,11.586,10.248,8.77,6.819,12.694,0.043,-2.965,-3.866,-4.786,-5.454,-5.937,-6.044,-6.217,-6.449,0.439,0.02,7.654,7.014,3457.3,68.0
VXCyg,1.303917,11.769,10.062,8.161,5.905,12.343,0.064,-3.76,-4.716,-5.661,-6.238,-6.701,-6.728,-7.131,-7.065,0.753,0.02,6.816,6.083,2941.8,87.0
VXPer,1.036883,10.492,9.299,7.919,6.298,13.118,0.129,-4.636,-5.354,-6.132,-6.586,-6.958,-7.002,-7.339,-7.289,0.475,0.02,6.98,6.437,4204.3,250.7
VYCar,1.276818,8.642,7.463,6.28,4.806,11.344,0.028,-3.726,-4.662,-5.539,-6.109,-6.541,-6.631,-6.898,-6.989,0.242,0.02,5.463,4.945,1856.8,23.8
VYCyg,0.895256,10.822,9.582,8.079,6.396,11.147,0.066,-2.889,-3.525,-4.259,-4.617,-4.953,-4.984,-5.4,-5.236,0.606,0.02,7.102,6.548,1695.7,51.5
VZCyg,0.687034,9.836,8.956,7.933,6.759,11.452,0.024,-2.741,-3.355,-4.042,-4.42,-4.736,-4.795,-5.107,-5.053,0.266,0.02,7.283,6.872,1951.8,21.4
VZPup,1.364945,10.793,9.634,8.305,6.67,13.31,0.018,-4.442,-5.154,-5.898,-6.367,-6.746,-6.815,-7.066,-7.123,0.455,0.02,7.373,6.83,4592.0,37.2
WGem,0.898368,7.865,6.95,5.901,4.693,9.795,0.141,-3.009,-3.669,-4.395,-4.831,-5.181,-5.2,-5.522,-5.453,0.255,0.02,5.204,4.763,909.7,58.9
WSgr,0.880529,5.423,4.672,3.863,2.847,6.963,0.117,-1.997,-2.641,-3.312,-3.754,-4.085,-4.157,-4.354,-4.435,0.108,0.02,3.311,2.941,247.0,13.4
WWMon,0.66858,13.637,12.51,11.137,9.392,13.254,0.048,-2.177,-2.701,-3.305,-3.761,-4.101,-4.095,-4.247,-4.324,0.605,0.02,10.064,9.507,4475.9,99.1
WZCar,1.361977,10.427,9.266,7.963,6.29,12.742,0.066,-3.89,-4.676,-5.509,-6.084,-6.503,-6.595,-6.799,-6.946,0.372,0.02,7.009,6.456,3534.8,107.5
WZSgr,1.339443,9.424,8.03,6.497,4.568,11.279,0.036,-3.695,-4.656,-5.636,-6.285,-6.768,-6.879,-7.158,-7.287,0.435,0.02,5.404,4.765,1802.2,29.9
XCyg,1.214482,7.533,6.377,5.223,3.838,10.285,0.015,-3.716,-4.642,-5.51,-6.029,-6.454,-6.535,-6.852,-6.883,0.228,0.02,4.471,3.964,1140.2,8.1
XLac,0.735997,9.306,8.405,7.317,6.046,11.33,0.045,-3.446,-4.011,-4.672,-5.039,-5.369,-5.413,-5.699,-5.67,0.336,0.02,6.608,6.157,1845.4,38.2
XPup,1.414321,9.702,8.507,7.107,5.431,12.238,0.017,-4.317,-5.095,-5.957,-6.455,-6.884,-6.969,-7.302,-7.322,0.421,0.02,6.18,5.6,2802.6,22.6
XSct,0.62305,11.138,10.011,8.62,6.826,11.981,0.188,-3.335,-3.872,-4.518,-5.058,-5.374,-5.382,-5.519,-5.604,0.589,0.02,7.479,6.951,2489.5,215.0
