,level_0,index,ID,logP,IRSB,plx,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,DR3Name,Gmag,BPmag,RPmag,RA_ICRS,DE_ICRS
82,89,95,WZSgr,1.339443,11.21,10.967760656251569,0.435,9.424,8.03,6.497,5.404,4.765,4.568,Gaia DR3 4094784475310672128,7.682094,8.565777,6.786537,274.24882157138,-19.07583147548
83,90,97,WZCar,1.361977,12.68,12.483841530446382,0.372,10.427,9.266,7.963,7.009,6.456,6.29,Gaia DR3 5338182833266967680,8.997776,9.702198,8.172882,163.8279757782,-60.93997649537
84,91,98,VZPup,1.364945,13.249,12.96163567071646,0.455,10.793,9.634,8.305,7.373,6.83,6.67,Gaia DR3 5600052040150252800,9.341325,10.091524,8.493485,114.64681824177,-28.49960082926
85,92,99,SWVel,1.370016,11.976,11.74250303919865,0.344,9.281,8.128,6.844,5.931,5.39,5.231,Gaia DR3 5329352998951582976,7.787433,8.536652,6.929191,130.91118029355,-47.4030901241
86,93,100,XPup,1.414321,12.192,11.818070902897958,0.421,9.702,8.507,7.107,6.18,5.6,5.431,Gaia DR3 5620098679741674496,8.347651,9.122233,7.425146,113.19596459365,-20.90968216106
87,94,101,RYVel,1.449158,11.812,11.955188031554531,0.545,9.744,8.371,6.834,5.7,5.123,4.928,Gaia DR3 5355057622307185280,7.879678,8.770825,6.983576,155.17091157355,-55.32138032787
88,95,102,KQSco,1.457818,12.204,11.484080204997342,0.869,11.747,9.81,7.658,6.025,5.218,4.947,Gaia DR3 5964193485048327808,8.963354,10.256292,7.867073,252.91060533045,-45.42670590081
89,96,103,AQPup,1.478624,12.544,12.415260552745409,0.518,10.081,8.705,7.14,6.102,5.483,5.299,Gaia DR3 5597379741549105280,8.315241,9.253232,7.369619,119.59202293226,-29.13008221932
90,97,104,KNCen,1.531857,12.974,12.70949627515709,0.791,11.468,9.856,7.996,6.517,5.756,5.49,Gaia DR3 5864135319959353600,9.240802,10.297581,8.212314,204.15365781403,-64.55831585329
91,98,105,UCar,1.58897,10.752,11.122760074756943,0.263,7.469,6.292,5.057,4.193,3.67,3.522,Gaia DR3 5338359442320395904,6.157681,6.809177,5.33878,164.45072523345,-59.73217920344
92,99,106,RSPup,1.61742,11.307,11.05487314490565,0.457,8.442,7.01,5.489,4.44,3.827,3.647,Gaia DR3 5546476927338700416,6.638235,7.594005,5.740647,123.26754647233,-34.57851289632
93,100,107,SVVul,1.652569,11.418,11.8154976151152,0.462,8.7,7.213,5.67,4.668,4.09,3.93,Gaia DR3 2027951173435143680,6.809188,7.790675,5.891953,297.87876412857,27.46020619101
94,102,109,SVul,1.837426,12.999,12.882775885631403,0.787,10.85,8.961,6.941,5.536,4.832,4.6,Gaia DR3 2027971514401523456,8.151961,9.310813,7.080046,297.09917637974,27.2864809379
