ID,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,overtone,BPmag,Gmag,RPmag,plx,IRSB,sig_mM0_IRSB,EBV,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H],Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk
SVPer,10.023,8.977,7.734,6.891,6.355,6.237,0,9.318793,8.696445,7.905073,13.388793924236634,12.225,0.047,0.408,,Gaia DR3 203496585576324224,72.44976511863,42.28970434341,3,11.693,,-3.928,-4.567,-5.293,-5.719,-6.108,-6.145,-6.419,-6.438
BNPup,11.069,9.882,8.552,7.626,7.076,6.921,0,10.428416,9.638985,8.79757,12.388919204911467,12.78,0.047,0.416,,Gaia DR3 5596601154188852352,121.58947099704,-30.09687032198,3,1.249,,-3.472,-4.24,-5.045,-5.546,-5.947,-6.019,-6.292,-6.344
TZMon,11.459,10.796,9.468,8.551,8.006,7.856,0,11.233583,10.510648,9.667273,12.40368207514518,13.74,0.13,0.42,0.8522,Gaia DR3 3112475495616980992,104.50389379431,-0.37596337895,4,1.236,-0.2279,-4.058,-4.302,-5.097,-5.585,-5.98,-6.045,-6.331,-6.362
XPup,9.702,8.507,7.107,6.18,5.6,5.431,0,9.122233,8.347651,7.425146,11.818070902897958,12.192,0.017,0.421,,Gaia DR3 5620098679741674496,113.19596459365,-20.90968216106,2,1.038,,-4.271,-5.05,-5.911,-6.409,-6.838,-6.923,-7.256,-7.276
BKAur,10.524,9.457,8.249,7.387,6.885,6.772,0,9.716227,9.128825,8.322496,11.677938427875784,11.207,0.069,0.425,0.6489,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,3,1.007,-0.0671,-2.481,-3.122,-3.793,-4.221,-4.57,-4.598,-4.831,-4.858
SYAur,10.09,9.07,7.843,7.008,6.524,6.405,0,9.384711,8.798152,8.009101,11.519353307836806,11.936,0.068,0.432,,Gaia DR3 201509768065410944,78.16345237446,42.83178007665,3,1.084,,-3.674,-4.262,-4.941,-5.335,-5.665,-5.698,-5.995,-5.947
TTAql,8.436,7.138,5.678,4.772,4.204,4.051,0,7.582161,6.774303,5.906594,9.932871345899628,9.8,0.033,0.435,0.2198,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,2,1.076,-0.4549,-3.205,-4.067,-4.977,-5.438,-5.851,-5.916,-6.388,-6.245
WZSgr,9.424,8.03,6.497,5.404,4.765,4.568,0,8.565777,7.682094,6.786537,10.967760656251567,11.21,0.036,0.435,0.6122,Gaia DR3 4094784475310672128,274.24882157138,-19.07583147548,2,0.944,-0.9491,-3.626,-4.586,-5.567,-6.216,-6.699,-6.81,-7.089,-7.218
VWCen,11.586,10.248,8.77,7.654,7.014,6.819,0,10.698315,9.853758,8.964625,12.645686718721777,12.575,0.043,0.439,0.5431,Gaia DR3 5864955727424819200,203.49589762776,-64.05556091566,3,1.063,-0.1565,-2.846,-3.747,-4.667,-5.335,-5.818,-5.925,-6.098,-6.33
SYCas,10.85,9.873,8.752,7.909,7.448,7.343,0,10.227487,9.639541,8.883359,11.677891406797706,11.586,0.059,0.442,0.8255,Gaia DR3 422923956470923008,3.79086871838,58.42428046193,3,1.039,-0.2768,-2.607,-3.139,-3.702,-4.094,-4.396,-4.413,-4.573,-4.632
