,name,logP,EBV,IRSB,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,plx,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H]
92,VYCar,1.276818,0.2870519267276168,11.344,8.642,7.463,6.28,5.463,4.945,4.806,8.046384,7.337772,6.535224,11.176359923379694,,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,1,0.916,
93,VXCyg,1.303917,0.7292696293713912,12.343,11.769,10.062,8.161,6.816,6.083,5.905,10.519523,9.421895,8.398459,12.15020280080577,1.2215,Gaia DR3 1873250780732545920,314.33678002732,40.17748649759,3,0.998,0.163
94,RYSco,1.307927,0.6296133942021587,10.337,9.462,8.018,6.255,4.999,4.365,4.143,8.513703,7.489791,6.469172,10.456692647650534,,Gaia DR3 4041690364529590144,267.71811125846,-33.70567624871,2,0.733,
95,RZVel,1.309564,0.2994476580209272,10.684,8.216,7.09,5.867,4.979,4.46,4.308,7.60386,6.850103,6.022648,10.773705173405876,0.693,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,2,1.244,-0.9696
96,WZSgr,1.339443,0.581819096989582,11.279,9.424,8.03,6.497,5.404,4.765,4.568,8.565777,7.682094,6.786537,10.987760656251568,0.6122,Gaia DR3 4094784475310672128,274.24882157138,-19.07583147548,2,0.944,-0.9491
97,BMPer,1.360896,0.9142121795437868,12.275,12.21,10.401,8.214,6.8,6.012,5.773,10.963252,9.701406,8.599289,12.126066800810436,,Gaia DR3 258412862056729472,67.4141211273,48.42196837944,2,0.991,
98,WZCar,1.361977,0.3648716404052964,12.742,10.427,9.266,7.963,7.009,6.456,6.29,9.702198,8.997776,8.172882,12.883841530446382,0.7831,Gaia DR3 5338182833266967680,163.8279757782,-60.93997649537,2,1.376,-0.1606
99,SWVel,1.370016,0.3279004793083434,12.036,9.281,8.128,6.844,5.931,5.39,5.231,8.536652,7.787433,6.929191,11.86250303919865,,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,3,1.049,
100,XPup,1.414321,0.3981321846461112,12.238,9.702,8.507,7.107,6.18,5.6,5.431,9.122233,8.347651,7.425146,12.158070902897958,,Gaia DR3 5620098679741674496,113.19596459365,-20.90968216106,2,1.038,
101,TMon,1.431915,0.2292419286488415,10.585,7.307,6.128,4.98,4.183,3.652,3.525,6.798715,6.124317,5.286486,10.373288288206025,0.2646,Gaia DR3 3324535073449061504,96.30416910585,7.08569727313,2,1.724,-0.1455
102,RYVel,1.449158,0.4258179513692328,11.847,9.744,8.371,6.834,5.7,5.123,4.928,8.770825,7.879678,6.983576,11.755188031554532,,Gaia DR3 5355057622307185280,155.17091157355,-55.32138032787,3,1.075,
103,KQSco,1.457818,0.9678268375258068,12.237,11.747,9.81,7.658,6.025,5.218,4.947,10.256292,8.963354,7.867073,11.564080204997342,1.6617,Gaia DR3 5964193485048327808,252.91060533045,-45.42670590081,3,0.909,-0.0953
104,AQPup,1.478624,0.4698216914787982,12.57,10.081,8.705,7.14,6.102,5.483,5.299,9.253232,8.315241,7.369619,12.195260552745408,0.6648,Gaia DR3 5597379741549105280,119.59202293226,-29.13008221932,2,1.18,0.3209
105,KNCen,1.531857,0.8486181553847134,12.983,11.468,9.856,7.996,6.517,5.756,5.49,10.297581,9.240802,8.212314,12.38949627515709,,Gaia DR3 5864135319959353600,204.15365781403,-64.55831585329,3,1.034,
106,lCar,1.550816,0.2102987762169773,8.496,5.009,3.729,2.557,1.766,1.212,1.093,4.179304,3.471174,2.676083,8.296721691503382,0.474,Gaia DR3 5250032958818831360,146.31159319123,-62.50786736246,2,2.393,-0.0584
107,UCar,1.58897,0.1921920995635472,10.743,7.469,6.292,5.057,4.193,3.67,3.522,6.809177,6.157681,5.33878,10.862760074756943,0.3809,Gaia DR3 5338359442320395904,164.45072523345,-59.73217920344,2,1.229,-1.2903
108,RSPup,1.61742,0.3988648410302738,11.288,8.442,7.01,5.489,4.44,3.827,3.647,7.594005,6.638235,5.740647,10.99487314490565,,Gaia DR3 5546476927338700416,123.26754647233,-34.57851289632,2,1.157,
