name,logP,B_mag,V_mag,I_mag,K_mag,EBV,J_mag,H_mag,DR3Name,RAdeg,DEdeg,Plx,RUWE,Gmag,BP-RP,BP-G,G-RP,RV,[Fe/H],E(BP-RP),mMplx,Period,mM0
AQPup,1.478624,10.081,8.705,7.14,5.299,0.518,6.102,5.483,Gaia DR3 5597379741549105280,119.59202293226,-29.13008221932,0.2751,1.18,8.315241,1.883613,0.937991,0.945621,,0.3209,0.6648,12.674482964487549,30.103985,12.578
ZLac,1.036854,9.514,8.414,7.148,5.693,0.37,6.346,5.827,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,0.4866,1.055,8.185639,1.50366,0.676661,0.826998,-37.12,,,11.475027813245717,10.885643,11.395
V340Nor,1.052579,9.526,8.371,7.168,5.586,0.322,6.272,5.732,Gaia DR3 5932569709575669504,243.32248330227,-54.23489685836,0.4665,0.919,8.036095,1.446433,0.661645,0.784788,-44.41,,,11.565688423685124,11.287014,11.215
XLac,0.735997,9.306,8.405,7.317,6.046,0.336,6.608,6.157,Gaia DR3 2004036486267748352,342.26322668964,56.4281966365,0.4966,1.01,8.115799,1.248826,0.546796,0.70203,-27.94,-0.1248,0.4597,11.441570549779797,5.444989,11.365
UNor,1.101875,10.841,9.247,7.352,4.991,0.857,5.931,5.237,Gaia DR3 5884368498528237952,235.58714333319,-55.31194067495,0.5969,0.984,8.493722,2.108131,1.057847,1.050284,-30.97,-0.16,1.3007,11.019494108019003,12.643723,10.572
CDCyg,1.232334,10.217,8.948,7.448,5.72,0.493,6.463,5.89,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,0.3665,1.007,8.587173,1.681824,0.78891,0.892914,,-0.0117,0.9644,12.026730340705887,17.073952,11.963
DLCas,0.903126,10.121,8.968,7.575,5.949,0.488,6.651,6.101,Gaia DR3 428620663657823232,7.49409611203,60.21195729734,0.5528,1.883,8.57736,1.564116,0.711698,0.852418,-46.8,-0.2499,0.7861,11.183710222574446,8.000664,11.677
V0386Cyg,0.720788,11.167,9.627,7.742,5.587,0.841,6.482,5.809,Gaia DR3 1968971582984827136,318.66846943872,41.716336531,0.8638,0.951,8.998431,2.050472,1.0166,1.033873,-0.07,-0.1374,1.3702,10.247669788899994,5.2576056,9.634
SZCyg,1.179252,10.91,9.432,7.755,5.775,0.571,6.635,5.961,Gaia DR3 2071433765909167232,308.22621041712,46.6012487157,0.4186,0.956,8.952725,1.84288,0.902597,0.940283,,,,11.752407283637574,15.10957,11.641
BGLac,0.726883,9.833,8.881,7.784,6.543,0.3,7.112,6.658,Gaia DR3 1960981328902089088,330.10475637179,43.44535204904,0.5555,1.43,8.614144,1.251175,0.544402,0.706773,-24.44,-0.3346,0.4836,11.17620975184459,5.3319125,11.282
YSct,1.014575,11.194,9.632,7.841,5.691,0.757,6.578,5.896,Gaia DR3 4156450099578283776,279.51377343258,-8.36894716336,0.5185,0.944,8.931744,2.011136,0.98025,1.030885,11.65,0.0047,1.1386,11.284443371534877,10.341299,11.175
MWCyg,0.774852,10.841,9.483,7.874,6.041,0.635,6.799,6.209,Gaia DR3 2055014277739104896,303.09510555228,32.87159966536,0.513,1.208,9.016481,1.759204,0.833564,0.92564,-14.34,-2.2118,0.9076,11.343996712306986,5.9545918,10.3
VZCyg,0.687034,9.836,8.956,7.933,6.759,0.266,7.283,6.872,Gaia DR3 1960750328384177408,327.92264896468,43.13402308887,0.52,1.314,8.745005,1.19764,0.506611,0.69103,-18.29,-0.2581,0.5206,11.304265852073845,4.864453,11.488
WZCar,1.361977,10.427,9.266,7.963,6.29,0.372,7.009,6.456,Gaia DR3 5338182833266967680,163.8279757782,-60.93997649537,0.2705,1.376,8.997776,1.529316,0.704422,0.824894,,-0.1606,0.7831,12.751916383984494,23.013195,12.755
KNCen,1.531857,11.468,9.856,7.996,5.49,0.791,6.517,5.756,Gaia DR3 5864135319959353600,204.15365781403,-64.55831585329,0.2272,1.034,9.240802,2.085267,1.056779,1.028488,-39.72,,,13.009043814606148,34.029617,12.989
ZSct,1.110645,10.927,9.592,8.055,6.323,0.492,7.055,6.478,Gaia DR3 4253435825622331392,280.7386394805,-5.82091281592,0.3188,0.903,9.223479,1.69163,0.830909,0.860722,53.29,-0.5432,0.4921,12.285185837075556,12.901643,12.15
VYCyg,0.895256,10.822,9.582,8.079,6.396,0.606,7.102,6.548,Gaia DR3 1873112207907294848,316.06930218182,39.97223311596,0.4572,1.073,9.205185,1.666895,0.785139,0.881756,-7.42,,,11.590401287510868,7.856986,11.176
ASPer,0.696531,11.02,9.719,8.09,6.315,0.679,7.035,6.478,Gaia DR3 270272675510149504,64.94524474253,48.95326102831,0.6125,1.079,9.226171,1.776366,0.846898,0.929468,-34.56,-0.3998,1.2495,10.935062411642551,4.9719987,10.867
YLac,0.635863,9.874,9.144,8.277,7.225,0.217,7.706,7.316,Gaia DR3 1977074811892425600,332.26206158309,51.04584489597,0.4085,1.053,9.062985,1.039585,0.407267,0.632318,,-0.8522,0.0505,11.811453113776578,4.3237743,11.974
RZCMa,0.628882,10.698,9.698,8.469,7.027,0.443,7.629,7.177,Gaia DR3 3027940437469882880,110.38689819352,-16.68721769549,0.5627,1.626,9.302669,1.354853,0.5943,0.760552,30.05,-0.3109,0.729,11.116365413378881,4.254828,10.98
UUMus,1.065819,10.936,9.794,8.486,6.828,0.404,7.528,6.989,Gaia DR3 5332375453374624640,178.07378070609,-65.4041820158,0.2915,1.006,9.441485,1.503216,0.685792,0.817424,-20.02,,,12.559854088723863,11.636409,12.057
BNPup,1.135867,11.069,9.882,8.552,6.921,0.416,7.626,7.076,Gaia DR3 5596601154188852352,121.58947099704,-30.09687032198,0.2811,1.249,9.638985,1.630846,0.789432,0.841414,,,,12.644824405821653,13.6731,12.933
CVMon,0.730685,11.596,10.305,8.616,6.576,0.722,7.404,6.791,Gaia DR3 3127142323596470144,99.27018871085,3.06396219477,0.5675,1.1,9.701135,1.824931,0.89334,0.931591,9.35,-1.4814,0.5633,11.108710520996771,5.378795,10.953
V0402Cyg,0.639968,10.897,9.867,8.669,7.299,0.391,7.895,7.41,Gaia DR3 2060021625508894592,302.28231841529,37.15195204657,0.3859,0.92,9.520483,1.348202,0.600918,0.747284,-17.96,-0.2234,0.512,11.947021728130672,4.364836,11.433
V0459Cyg,0.860413,12.035,10.601,8.837,6.903,0.73,7.715,7.073,Gaia DR3 2165771172070496512,317.72653587334,49.14204142755,0.3551,1.086,10.057569,1.946774,0.961648,0.985126,-20.94,,,12.082158855986078,7.2512527,11.551
ADGem,0.578408,10.547,9.855,9.039,8.077,0.173,8.527,8.147,Gaia DR3 3378049163365268608,100.78129641785,20.93910595532,0.3356,0.969,9.70913,0.985612,0.415513,0.570099,51.55,-0.1667,0.1589,12.152685255163252,3.787983,12.448
LSPup,1.150646,11.685,10.448,9.074,7.353,0.462,8.094,7.518,Gaia DR3 5597327141100381568,119.74673595271,-29.30786248156,0.1925,1.247,10.147516,1.660714,0.78062,0.880095,94.89,,,13.407455645430378,14.146401,13.395
CFCas,0.687994,12.338,11.128,9.691,7.966,0.553,8.701,8.132,Gaia DR3 2011892703004353792,359.57487036665,61.2210537331,0.289,1.036,10.724333,1.59435,0.744171,0.850179,-69.75,,,12.491991148420997,4.8752174,12.248
CSVel,0.771201,13.049,11.709,10.068,8.018,0.737,8.84,8.234,Gaia DR3 5308893149150949248,145.29271952315,-53.81603750378,0.2611,0.905,11.1879,1.827692,0.856701,0.970991,31.0,,,12.823762052256537,5.9047437,12.549
ZetGem,1.006497,4.708,3.849,3.117,2.131,0.014,2.612,2.201,Gaia DR3 3366754155291545344,106.02717676047,20.57029427416,3.0729,2.778,3.539513,0.986928,0.434024,0.552904,-0.83,,,7.550253729454276,10.150725,7.958
