,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,plx,IRSB,EBV,DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H]
50,V1162Aql,0.730464,8.677,7.789,6.845,6.22,5.807,5.714,8.092654,7.593359,6.939383,10.340667869239477,10.392,0.2045938355183974,Gaia DR3 4190143160245024256,298.08749761841,-11.3669243656,3,0.952,-0.0744
51,SWVel,1.370016,9.281,8.128,6.844,5.931,5.39,5.231,8.536652,7.787433,6.929191,11.74250303919865,11.756,0.346566044471798,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,3,1.049,
52,RYVel,1.449158,9.744,8.371,6.834,5.7,5.123,4.928,8.770825,7.879678,6.983576,11.955188031554531,11.672,0.5130402787215731,Gaia DR3 5355057622307185280,155.17091157355,-55.32138032787,3,1.075,
53,XXCen,1.039548,8.803,7.819,6.736,5.991,5.53,5.407,8.214571,7.621872,6.876737,11.102331520324078,10.979,0.2509239194838827,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,2,1.238,
54,FMAql,0.786342,9.546,8.27,6.717,5.794,5.235,5.075,8.617665,7.822873,6.906029,9.893257091898544,9.986999999999998,0.516551127761895,Gaia DR3 4312361436842603520,287.31662690693,10.55246519356,2,1.261,
55,RXAur,1.065337,8.631,7.669,6.59,5.819,5.355,5.269,7.931838,7.36267,6.635993,10.80361415548236,10.924,0.2392046108847332,Gaia DR3 200708636406382720,75.34662500842,39.9603810927,3,0.982,
56,VCar,0.82586,8.235,7.368,6.421,5.806,5.387,5.284,7.650739,7.17335,6.511265,10.389031150564474,10.251,0.1837418339470019,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,2,1.042,
57,BFOph,0.609329,8.2,7.337,6.366,5.701,5.285,5.178,7.575954,7.069333,6.408388,9.56465716912419,9.45,0.2720433191301623,Gaia DR3 4111834567779557376,256.52291020043,-26.58056513078,2,0.837,-0.5115
58,VYCar,1.276818,8.642,7.463,6.28,5.463,4.945,4.806,8.046384,7.337772,6.535224,11.096359923379694,11.115,0.2822237500092274,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,1,0.916,
59,RYSco,1.307927,9.462,8.018,6.255,4.999,4.365,4.143,8.513703,7.489791,6.469172,10.476692647650534,10.418,0.6808593108406698,Gaia DR3 4041690364529590144,267.71811125846,-33.70567624871,2,0.733,
60,YZSgr,0.980171,8.372,7.351,6.214,5.472,5.003,4.903,7.592309,7.014152,6.27917,10.244027307737111,10.363,0.2550756448641719,Gaia DR3 4099189015819292800,282.36912121969,-16.72304157114,1,0.955,-0.78
61,RZVel,1.309564,8.216,7.09,5.867,4.979,4.46,4.308,7.60386,6.850103,6.022648,10.793705173405876,10.645,0.3277119656487991,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,2,1.244,-0.9696
62,BBSgr,0.821971,7.924,6.94,5.822,5.099,4.639,4.51,7.13682,6.584278,5.878089,9.559813198538286,9.464,0.2963926666808655,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,1,0.82,
63,VCen,0.739882,7.705,6.834,5.796,5.073,4.628,4.509,7.228839,6.637,5.935676,9.197433322695396,9.131,0.3013241312685392,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,3,1.06,-0.4147
64,TTAql,1.138459,8.436,7.138,5.678,4.772,4.204,4.051,7.582161,6.774303,5.906594,9.932871345899628,10.0,0.4159245963999511,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,2,1.076,-0.4549
65,RSPup,1.61742,8.442,7.01,5.489,4.44,3.827,3.647,7.594005,6.638235,5.740647,11.05487314490565,10.987,0.4290602575146147,Gaia DR3 5546476927338700416,123.26754647233,-34.57851289632,2,1.157,
66,SNor,0.989194,7.375,6.429,5.427,4.729,4.275,4.162,6.699772,6.175861,5.503014,9.728963126792776,9.572,0.2230393410814011,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,2,0.878,-0.129
67,USgr,0.828997,7.786,6.69,5.426,4.587,4.093,3.954,7.129108,6.42923,5.63952,8.923040732551554,8.898,0.396638961737212,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,2,0.853,-0.9225
68,XCyg,1.214482,7.533,6.377,5.223,4.471,3.964,3.838,6.810588,6.199011,5.442216,10.119499113710727,10.017,0.2417567888805131,Gaia DR3 1870258975238302208,310.85076233271,35.58777650649,2,1.277,
69,UCar,1.58897,7.469,6.292,5.057,4.193,3.67,3.522,6.809177,6.157681,5.33878,11.122760074756943,10.772,0.2404991318132436,Gaia DR3 5338359442320395904,164.45072523345,-59.73217920344,2,1.229,-1.2903
70,TVul,0.646934,6.39,5.753,5.054,4.601,4.27,4.205,5.828832,5.499797,5.005271,8.779609271617035,8.635,0.0462270471913728,Gaia DR3 1857884212378132096,312.86767706102,28.25048193691,1,1.2,0.1393
