col1,name,logP,HST,IRSB,gplx,EBV,EBV_2,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,M_B,M_V,M_R,M_I,M_J,M_H,M_K,modu,excessu,M_Bu,M_Vu,M_Ru,M_Iu,M_Ju,M_Hu,M_Ku,Mb,Mv,Mi,Mj,Mh,Mk,DR3Name,RUWE,Gmag,BPmag,RA_ICRS,DE_ICRS,RPmag,QLT,Star,logP_2,BMAG,VMAG,RcMAG,IcMAG,Wvi,Wbi,JMAG,HMAG,KsMAG
48,WZ Sgr,1.339443,11.221,11.279,10.967760656251567,0.431,0.435,9.424,8.03,6.497,5.404,4.765,4.568,-3.63,-4.6,-5.16,-5.55,-6.3,-6.7,-6.84,11.153,0.343,-4.07,-4.95,-5.44,-5.75,-6.45,-6.82,-6.94,-3.695,-4.656,-5.636,-6.285,-6.768,-6.879,Gaia DR3 4094784475310672128,0.944,7.682094,8.565777,274.24882157138,-19.07583147548,6.786537,2,WZ Sgr,1.339443,-3.63,-4.6,-5.16,-5.55,-7.03,-7.21,-6.3,-6.7,-6.84
49,WZ Car,1.361977,12.688,12.742,12.483841530446382,0.37,0.372,10.427,9.266,7.963,7.009,6.456,6.29,-3.83,-4.61,-5.09,-5.43,-6.08,-6.42,-6.54,12.172,0.389,-4.27,-5.07,-5.56,-5.92,-6.58,-6.92,-7.05,-3.89,-4.676,-5.509,-6.084,-6.503,-6.595,Gaia DR3 5338182833266967680,1.376,8.997776,9.702198,163.8279757782,-60.93997649537,8.172882,2,WZ Car,1.361977,-3.83,-4.61,-5.09,-5.43,-6.7,-6.81,-6.08,-6.42,-6.54
50,SW Vel,1.370016,11.884,12.036,11.74250303919865,0.344,0.344,9.281,8.128,6.844,5.931,5.39,5.231,-4.07,-4.88,-5.37,-5.73,-6.34,-6.68,-6.8,11.64,0.313,-4.44,-5.22,-5.69,-6.02,-6.61,-6.94,-7.06,-4.21,-5.02,-5.868,-6.429,-6.847,-6.937,Gaia DR3 5329352998951582976,1.049,7.787433,8.536652,130.91118029355,-47.4030901241,6.929191,3,SW Vel,1.370016,-4.07,-4.88,-5.37,-5.73,-7.05,-7.17,-6.34,-6.68,-6.8
51,T Mon,1.431915,10.713,10.585,10.593288288206026,0.181,0.179,7.307,6.128,4.98,4.183,3.652,3.525,-4.18,-5.17,-5.68,-6.08,-6.75,-7.14,-7.27,10.824,0.151,-4.19,-5.15,-5.64,-6.01,-6.67,-7.05,-7.17,-4.035,-5.036,-5.957,-6.571,-7.038,-7.129,Gaia DR3 3324535073449061504,1.724,6.124317,6.798715,96.30416910585,7.08569727313,5.286486,2,T Mon,1.431915,-4.18,-5.17,-5.68,-6.08,-7.51,-7.73,-6.75,-7.14,-7.27
52,RY Vel,1.449158,11.734,11.847,11.955188031554531,0.547,0.545,9.744,8.371,6.834,5.7,5.123,4.928,-4.32,-5.14,-5.65,-5.99,-6.62,-6.92,-7.04,11.535,0.559,-4.47,-5.3,-5.82,-6.17,-6.81,-7.11,-7.23,-4.409,-5.235,-6.083,-6.661,-7.043,-7.128,Gaia DR3 5355057622307185280,1.075,7.879678,8.770825,155.17091157355,-55.32138032787,6.983576,3,RY Vel,1.449158,-4.32,-5.14,-5.65,-5.99,-7.32,-7.44,-6.62,-6.92,-7.04
53,AQ Pup,1.478624,12.407,12.57,12.415260552745407,0.518,0.518,10.081,8.705,7.14,6.102,5.483,5.299,-4.56,-5.39,-5.93,-6.28,-6.85,-7.2,-7.31,12.406,0.483,-4.71,-5.5,-6.01,-6.33,-6.88,-7.22,-7.32,-4.681,-5.545,-6.448,-6.956,-7.39,-7.47,Gaia DR3 5597379741549105280,1.18,8.315241,9.253232,119.59202293226,-29.13008221932,7.36962,2,AQ Pup,1.478624,-4.56,-5.39,-5.93,-6.28,-7.67,-7.78,-6.85,-7.2,-7.31
54,KN Cen,1.531857,12.843,12.983,12.70949627515709,0.797,0.791,11.468,9.856,7.996,6.517,5.756,5.49,-4.79,-5.59,-6.14,-6.43,-7.15,-7.53,-7.67,12.917,0.914,-4.23,-5.14,-5.79,-6.18,-6.97,-7.38,-7.55,-4.862,-5.685,-6.541,-7.212,-7.69,-7.797,Gaia DR3 5864135319959353600,1.034,9.240802,10.297581,204.15365781403,-64.55831585329,8.212314,3,KN Cen,1.531857,-4.79,-5.59,-6.14,-6.43,-7.74,-7.86,-7.15,-7.53,-7.67
55,l Car,1.550816,8.484,8.496,8.496721691503382,0.147,0.146,5.009,3.729,2.557,1.766,1.212,1.093,-4.11,-5.22,-5.8,-6.21,-6.91,-7.33,-7.46,8.582,0.17,-3.91,-5.05,-5.65,-6.08,-6.79,-7.22,-7.35,-4.105,-5.238,-6.226,-6.867,-7.37,-7.459,Gaia DR3 5250032958818831360,2.393,3.471174,4.179304,146.31159319123,-62.50786736246,2.6760821,2,l Car,1.550816,-4.11,-5.22,,-6.21,-7.74,-8.03,-6.91,-7.33,-7.46
56,U Car,1.58897,10.87,10.743,11.122760074756943,0.265,0.263,7.469,6.292,5.057,4.193,3.67,3.522,-4.51,-5.43,-5.94,-6.32,-6.97,-7.32,-7.45,10.596,0.285,-4.7,-5.64,-6.17,-6.56,-7.23,-7.58,-7.72,-4.387,-5.3,-6.202,-6.798,-7.227,-7.322,Gaia DR3 5338359442320395904,1.229,6.157681,6.809177,164.45072523345,-59.73217920344,5.338781,2,U Car,1.58897,-4.51,-5.43,-5.94,-6.32,-7.71,-7.89,-6.97,-7.32,-7.45
57,RS Pup,1.61742,11.298,11.288,11.05487314490565,0.457,0.457,8.442,7.01,5.489,4.44,3.827,3.647,-4.78,-5.76,-6.32,-6.72,-7.37,-7.74,-7.87,11.405,0.412,-4.86,-5.8,-6.32,-6.68,-7.3,-7.66,-7.78,-4.779,-5.756,-6.696,-7.279,-7.728,-7.817,Gaia DR3 5546476927338700416,1.157,6.638235,7.594005,123.26754647233,-34.57851289632,5.7406473,2,RS Pup,1.61742,-4.78,-5.76,-6.32,-6.72,-8.22,-8.4,-7.37,-7.74,-7.87
58,SV Vul,1.652569,11.686,11.388,11.8154976151152,0.461,0.462,8.7,7.213,5.67,4.668,4.09,3.93,-4.97,-5.97,-6.53,-6.9,-7.52,-7.86,-7.96,11.981,0.536,-4.36,-5.44,-6.06,-6.49,-7.16,-7.52,-7.64,-4.643,-5.67,-6.626,-7.155,-7.568,-7.636,Gaia DR3 2027951173435143680,1.203,6.809188,7.790675,297.87876412857,27.46020619101,5.891954,3,SV Vul,1.652569,-4.97,-5.97,-6.53,-6.9,-8.35,-8.58,-7.52,-7.86,-7.96
