,Identifier,logP,B_mag,V_mag,I_mag,K_mag,EBV,J_mag,H_mag,DR3Name,RAdeg,DEdeg,Plx,RUWE,Gmag,BP-RP,BP-G,G-RP,RV,[Fe/H],E(BP-RP),RA_ICRS,DE_ICRS,plxDR3,mMplx,Period,name_1,mM0,Quality,FeH,mMplx_1a,name,MODE
72,SYAur,1.006262,10.09,9.07,7.843,6.405,0.432,7.008,6.524,Gaia DR3 201509768065410944,78.16345237446,42.83178007665,0.4268,1.084,8.798152,1.37561,0.586559,0.789051,-10.01,,,78.16345237446,42.83178007665,0.4597402349978761,11.687437432598164,10.14523,SY Aur,12.132,3.0,-0.033,11.848877946237838,SYAur,FU
129,ZetGem,1.006497,4.708,3.849,3.117,2.131,0.014,2.612,2.201,Gaia DR3 3366754155291545344,106.02717676047,20.57029427416,3.0729,2.778,3.539513,0.986928,0.434024,0.552904,-0.83,,,106.02717676047,20.57029427416,3.0899343626872877,7.550253729454276,10.150725,zet Gem,7.958,1.0,,7.562257862816441,ZetGem,FU
71,YSct,1.014575,11.194,9.632,7.841,5.691,0.757,6.578,5.896,Gaia DR3 4156450099578283776,279.51377343258,-8.36894716336,0.5185,0.944,8.931744,2.011136,0.98025,1.030885,11.65,0.0047,1.1386,279.51377343258,-8.36894716336,0.5534919714384416,11.284443371534875,10.341299,Y Sct,11.175,4.0,0.166,11.426256196374702,YSct,FU
120,TWNor,1.032868,13.63,11.701,9.287,6.39,1.157,7.506,6.694,Gaia DR3 5981406000300438016,241.23009532876,-51.95352728432,0.3175,0.891,10.565082,2.591659,1.443592,1.148067,,,,241.23009532876,-51.95352728432,0.3664563921565653,12.17988849218881,10.786189,TW Nor,11.716,3.0,0.231,12.491281351860028,TWNor,FU
55,ZLac,1.036854,9.514,8.414,7.148,5.693,0.37,6.346,5.827,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,0.4866,1.055,8.185639,1.50366,0.676661,0.826998,-37.12,,,340.21724149798,56.82945573799,0.506984214539496,11.475027813245717,10.885643,Z Lac,11.395,2.0,0.025,11.564139477026,ZLac,FU
39,XXCen,1.039548,8.803,7.819,6.736,5.407,0.271,5.991,5.53,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,0.5516,1.238,7.621872,1.337834,0.592699,0.745135,-11.88,,,205.07765290606,-57.61318392067,0.5649129621651804,11.240092300400269,10.953379,XXCen,11.024,2.0,0.084,11.291878712480935,XXCen,FU
113,TYSct,1.043507,12.507,10.818,8.825,6.429,0.965,7.355,6.638,Gaia DR3 4256744187345732224,280.53296920017,-4.29349280288,0.3279,0.905,9.899057,2.149066,1.121984,1.027081,8.63,,,280.53296920017,-4.29349280288,0.3768184869229722,12.119338993147352,11.053682,TY Sct,11.663,4.0,0.324,12.421292916653172,TYSct,FU
105,V0438Cyg,1.049647,12.847,10.943,8.639,5.789,1.238,6.921,6.081,Gaia DR3 2062267687221984128,304.72629821519,40.06447451486,0.4929,1.094,9.948211,2.474897,1.365044,1.109854,,-0.097,1.958,304.72629821519,40.06447451486,0.5325027539977432,11.368390708996074,11.211069,V0438 Cyg,11.432,5.0,0.22,11.536205909226382,V0438Cyg,FU
56,V340Nor,1.052579,9.526,8.371,7.168,5.586,0.322,6.272,5.732,Gaia DR3 5932569709575669504,243.32248330227,-54.23489685836,0.4665,0.919,8.036095,1.446433,0.661645,0.784788,-44.41,,,243.32248330227,-54.23489685836,0.4862530240561818,11.565688423685124,11.287014,V340 Nor,11.215,4.0,,11.655741759587409,V340Nor,FU
101,AAGem,1.053181,10.809,9.729,8.581,7.106,0.309,7.734,7.2,Gaia DR3 3430067092837622272,91.64560763763,26.32921983415,0.2749,1.249,9.393121,1.363424,0.614984,0.748441,,-0.2277,0.5586,91.64560763763,26.32921983415,0.3096355077317596,12.54574621010502,11.3026705,AA Gem,12.648,3.0,-0.192,12.80412630078266,AAGem,FU
37,RXAur,1.065337,8.631,7.669,6.59,5.269,0.263,5.819,5.355,Gaia DR3 200708636406382720,75.34662500842,39.9603810927,0.6182,0.982,7.36267,1.295845,0.569168,0.726676,-23.95,,,75.34662500842,39.9603810927,0.653680458923426,10.923172488040027,11.623499,RX Aur,11.009,3.0,-0.015,11.04435499636357,RXAur,FU
97,UUMus,1.065819,10.936,9.794,8.486,6.828,0.404,7.528,6.989,Gaia DR3 5332375453374624640,178.07378070609,-65.4041820158,0.2915,1.006,9.441485,1.503216,0.685792,0.817424,-20.02,,,178.07378070609,-65.4041820158,0.3076303518859928,12.559854088723863,11.636409,UU Mus,12.057,3.0,0.109,12.676807204524836,UUMus,FU
93,RYCas,1.084181,11.321,9.95,8.403,6.373,0.618,7.175,6.551,Gaia DR3 1999252442448732288,358.02927448682,58.74171978277,0.3297,1.134,9.384336,1.74932,0.858231,0.891089,-92.26,-1.8015,0.7186,358.02927448682,58.74171978277,0.361690031975352,12.208317300230512,12.138946,RY Cas,12.092,3.0,0.15,12.409405264284237,RYCas,FU
60,UNor,1.101875,10.841,9.247,7.352,4.991,0.857,5.931,5.237,Gaia DR3 5884368498528237952,235.58714333319,-55.31194067495,0.5969,0.984,8.493722,2.108131,1.057847,1.050284,-30.97,-0.16,1.3007,235.58714333319,-55.31194067495,0.6253183573922279,11.019494108019003,12.643723,U Nor,10.572,2.0,0.119,11.12049210554163,UNor,FU
81,ZSct,1.110645,10.927,9.592,8.055,6.323,0.492,7.055,6.478,Gaia DR3 4253435825622331392,280.7386394805,-5.82091281592,0.3188,0.903,9.223479,1.69163,0.830909,0.860722,53.29,-0.5432,0.4921,280.7386394805,-5.82091281592,0.3491104369323093,12.285185837075556,12.901643,Z Sct,12.15,3.0,0.237,12.482408436379623,ZSct,FU
116,V0916Aql,1.128449,12.574,10.791,8.896,6.581,1.089,7.486,6.767,Gaia DR3 4313179507891570304,287.50172438518,12.53653558769,0.2987,0.916,10.064854,2.183231,1.126293,1.056938,15.26,0.2422,1.226,287.50172438518,12.53653558769,0.3385702052253794,12.351756316125806,13.44154,V0916 Aql,12.503,1.0,0.278,12.62382388697936,V0916Aql,FU
99,BNPup,1.135867,11.069,9.882,8.552,6.921,0.416,7.626,7.076,Gaia DR3 5596601154188852352,121.58947099704,-30.09687032198,0.2811,1.249,9.638985,1.630846,0.789432,0.841414,,,,121.58947099704,-30.09687032198,0.2958251673261102,12.644824405821652,13.6731,BN Pup,12.933,3.0,0.028,12.755695771962795,BNPup,FU
21,TTAql,1.138459,8.436,7.138,5.678,4.051,0.435,4.772,4.204,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,0.9627,1.076,6.774303,1.675568,0.807858,0.86771,,-0.4549,0.2198,287.05728923954,1.29863144782,0.9943966840689068,10.012201662846625,13.75495,TT Aql,9.952,2.0,0.13,10.082545140924168,TTAql,FU
124,CYAur,1.141376,13.446,11.867,9.962,7.774,0.768,8.708,7.961,Gaia DR3 206577210999441536,74.41700356968,46.09253021377,0.2316,1.16,11.216944,1.984124,0.899126,1.084998,,,,74.41700356968,46.09253021377,0.2642422608350101,12.889988617564724,13.847649,CY Aur,13.757,4.0,-0.229,13.176307224723008,CYAur,FU
118,LSPup,1.150646,11.685,10.448,9.074,7.353,0.462,8.094,7.518,Gaia DR3 5597327141100381568,119.74673595271,-29.30786248156,0.1925,1.247,10.147516,1.660714,0.78062,0.880095,94.89,,,119.74673595271,-29.30786248156,0.2082134934545069,13.407455645430378,14.146401,LS Pup,13.395,2.0,,13.577846330777405,LSPup,FU
57,TXCyg,1.167607,11.363,9.489,7.228,4.372,1.13,5.462,4.637,Gaia DR3 2161786374436607616,315.02658089008,42.59755012053,0.7954,0.952,8.521427,2.551886,1.344398,1.207489,-31.15,,,315.02658089008,42.59755012053,0.8347783834104224,10.39214402759162,14.709807,TX Cyg,10.226,3.0,0.135,10.497072066750192,TXCyg,FU
119,UZSct,1.168739,13.124,11.247,9.184,6.534,1.02,7.534,6.746,Gaia DR3 4104869264724284544,277.8431918063,-12.92871602632,0.2758,0.913,10.364139,2.354671,1.258821,1.09585,59.41,0.2063,1.2352,277.8431918063,-12.92871602632,0.3201175430643087,12.47345262510475,14.748197,UZ Sct,12.755,2.0,0.395,12.797028690800843,UZSct,FU
74,RWCas,1.170032,10.462,9.233,7.871,6.237,0.38,6.934,6.367,Gaia DR3 508915489570374272,24.30840720487,57.75921601261,0.3047,1.262,8.834319,1.498652,0.682399,0.816254,,,,24.30840720487,57.75921601261,0.3344627437819086,12.37826125900343,14.792173,RW Cas,12.718,3.0,0.076,12.580637728886632,RWCas,FU
110,VWCen,1.177138,11.586,10.248,8.77,6.819,0.439,7.654,7.014,Gaia DR3 5864955727424819200,203.49589762776,-64.05556091566,0.2386,1.063,9.853758,1.733689,0.844557,0.889132,,-0.1565,0.5431,203.49589762776,-64.05556091566,0.2587077155853369,12.935953094411696,15.036196,VW Cen,12.713,3.0,0.31,13.111647803328385,VWCen,FU
68,SZCyg,1.179252,10.91,9.432,7.755,5.775,0.571,6.635,5.961,Gaia DR3 2071433765909167232,308.22621041712,46.6012487157,0.4186,0.956,8.952725,1.84288,0.902597,0.940283,,,,308.22621041712,46.6012487157,0.4461886752986179,11.752407283637574,15.10957,SZ Cyg,11.641,2.0,0.158,11.891003879986664,SZCyg,FU
51,SVMon,1.182801,9.31,8.256,7.133,5.726,0.234,6.345,5.826,Gaia DR3 3324153371114695680,95.35960712119,6.47015262948,0.4324,1.006,8.132302,1.425491,0.623551,0.801939,34.46,-0.1313,0.4102,95.35960712119,6.47015262948,0.46564307732651,11.65973424638912,15.233547,SV Mon,11.501,3.0,0.001,11.820571573593636,SVMon,FU
14,XCyg,1.214482,7.533,6.377,5.223,3.838,0.228,4.471,3.964,Gaia DR3 1870258975238302208,310.85076233271,35.58777650649,0.8842,1.277,6.199011,1.368372,0.611578,0.756794,19.1,,,310.85076233271,35.58777650649,0.9094554519071408,10.20609284619512,16.386337,X Cyg,10.303,2.0,0.089,10.267247447150725,XCyg,FU
47,RWCam,1.215224,10.034,8.671,7.042,5.139,0.633,5.93,5.291,Gaia DR3 473043922712140928,58.59070073087,58.65332973792,0.7133,8.013,8.229256,1.813859,0.840397,0.973462,,,,58.59070073087,58.65332973792,0.7365394325240612,10.664019985660214,16.414362,RW Cam,11.347,2.0,0.08,10.733638879896583,RWCam,FU
62,CDCyg,1.232334,10.217,8.948,7.448,5.72,0.493,6.463,5.89,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,0.3665,1.007,8.587173,1.681824,0.78891,0.892914,,-0.0117,0.9644,301.1106612854,34.11224946615,0.3932365994630692,12.026730340705887,17.073952,CD Cyg,11.963,1.0,0.154,12.179630105114263,CDCyg,FU
6,YOph,1.233609,7.531,6.166,4.524,2.682,0.647,3.437,2.869,Gaia DR3 4175017625462647168,268.16124433489,-6.1435971224,1.3126,1.031,5.640049,1.871658,0.91791,0.953748,-5.5,,,268.16124433489,-6.1435971224,1.3309595297451662,9.37917574920652,17.124147,Y Oph,8.798,2.0,0.021,9.409338000395476,YOph,FU
46,SZAql,1.234029,10.033,8.634,7.018,5.16,0.534,5.955,5.347,Gaia DR3 4267549637851481344,286.16423460279,1.30614320294,0.4901,0.94,8.201151,1.827561,0.851484,0.976077,5.05,,,286.16423460279,1.30614320294,0.5237746828164559,11.404277487351148,17.14072,SZ Aql,11.668,2.0,0.181,11.548576487436854,SZAql,FU
121,AASer,1.234041,14.396,12.238,9.571,6.527,1.046,7.706,6.78,Gaia DR3 4260210878780635904,280.3406709082,-1.11123399344,0.2408,0.952,11.081848,2.816885,1.575777,1.241108,-57.36,-0.1895,1.4787,280.3406709082,-1.11123399344,0.2676024567586074,12.86254951894916,17.14119,AASer,12.09,5.0,0.414,13.091717587071066,AASer,FU
111,CPCep,1.251989,12.223,10.577,8.773,6.537,0.649,7.457,6.726,Gaia DR3 2198162651499971200,329.46951559015,56.16388559015,0.2534,1.009,9.859632,2.037813,1.042439,0.995374,,-0.1676,1.0169,329.46951559015,56.16388559015,0.274625808878738,12.806293254525484,17.864426,CP Cep,12.797,2.0,-0.05,12.980966947262884,CPCep,FU
128,YZAur,1.259902,11.716,10.349,8.951,6.732,0.538,7.605,6.906,Gaia DR3 188724234539584256,78.84159556243,40.07802053944,0.1932,0.987,9.882999,1.866883,0.930904,0.935979,,,,78.84159556243,40.07802053944,0.2309821499373645,13.182107903206743,18.192902,YZ Aur,13.155,3.0,-0.329,13.569964389602628,YZAur,FU
31,VYCar,1.276818,8.642,7.463,6.28,4.806,0.242,5.463,4.945,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,0.5535,0.916,7.337772,1.51116,0.708612,0.802548,,,,161.13616016361,-57.56535723495,0.5665705141735631,11.233730155298584,18.91551,VY Car,11.36,1.0,0.055,11.284411873926292,VYCar,FU
61,RUSct,1.29448,11.126,9.487,7.371,5.072,0.911,5.777,5.315,Gaia DR3 4258436301367796480,280.48492497805,-4.11066312434,0.4816,0.867,8.713349,2.275499,1.185096,1.090403,-13.65,0.2185,0.7365,280.48492497805,-4.11066312434,0.5225965605192399,11.409167264589872,19.700626,RU Sct,11.608,3.0,0.087,11.58656760875116,RUSct,FU
84,VXCyg,1.303917,11.769,10.062,8.161,5.905,0.753,6.816,6.083,Gaia DR3 1873250780732545920,314.33678002732,40.17748649759,0.2878,0.998,9.421895,2.121063,1.097628,1.023436,-15.58,0.163,1.2215,314.33678002732,40.17748649759,0.3210629948840923,12.467048737564072,20.133396,VX Cyg,12.358,3.0,0.081,12.704546051997069,VXCyg,FU
30,RYSco,1.307927,9.462,8.018,6.255,4.143,0.718,4.999,4.365,Gaia DR3 4041690364529590144,267.71811125846,-33.70567624871,0.7279,0.733,7.489791,2.044532,1.023912,1.02062,-14.98,,,267.71811125846,-33.70567624871,0.7659000232098343,10.579139586576137,20.320158,RY Sco,10.352,2.0,0.067,10.68964140310003,RYSco,FU
24,RZVel,1.309564,8.216,7.09,5.867,4.308,0.3,4.979,4.46,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,0.652,1.244,6.850103,1.581212,0.753757,0.827455,26.46,-0.9696,0.693,129.2554000675,-44.1146536029,0.6568394119726612,10.912703981873618,20.396893,RZ Vel,10.698,2.0,0.048,10.9287620213404,RZVel,FU
36,WZSgr,1.339443,9.424,8.03,6.497,4.568,0.435,5.404,4.765,Gaia DR3 4094784475310672128,274.24882157138,-19.07583147548,0.5742,0.944,7.682094,1.77924,0.883683,0.895557,-5.58,-0.9491,0.6122,274.24882157138,-19.07583147548,0.6033949061027922,11.096991802432486,21.849575,WZ Sgr,11.293,2.0,0.273,11.204684059197564,WZSgr,FU
86,BMPer,1.360896,12.21,10.401,8.214,5.773,0.871,6.8,6.012,Gaia DR3 258412862056729472,67.4141211273,48.42196837944,0.288,0.991,9.701406,2.363963,1.261846,1.102118,,,,67.4141211273,48.42196837944,0.3317963718020292,12.395641836509665,22.955986,BM Per,11.99,2.0,0.093,12.703037561203846,BMPer,FU
78,WZCar,1.361977,10.427,9.266,7.963,6.29,0.372,7.009,6.456,Gaia DR3 5338182833266967680,163.8279757782,-60.93997649537,0.2705,1.376,8.997776,1.529316,0.704422,0.824894,,-0.1606,0.7831,163.8279757782,-60.93997649537,0.2815896728226487,12.751916383984494,23.013195,WZ Car,12.755,2.0,0.01,12.839163652787056,WZCar,FU
90,VZPup,1.364945,10.793,9.634,8.305,6.67,0.455,7.373,6.83,Gaia DR3 5600052040150252800,114.64681824177,-28.49960082926,0.2011,1.237,9.341325,1.598039,0.750199,0.847839,,-0.3459,0.7051,114.64681824177,-28.49960082926,0.2186659347014013,13.30109434552354,23.171013,VZ Pup,13.046,1.0,-0.17,13.482939647016291,VZPup,FU
41,SWVel,1.370016,9.281,8.128,6.844,5.231,0.344,5.931,5.39,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,0.404,1.049,7.787433,1.607461,0.749219,0.858242,,,,130.91118029355,-47.4030901241,0.4112284226544702,11.92958438038239,23.443153,SW Vel,12.049,3.0,-0.039,11.968093174446974,SWVel,FU
49,XPup,1.414321,9.702,8.507,7.107,5.431,0.421,6.18,5.6,Gaia DR3 5620098679741674496,113.19596459365,-20.90968216106,0.3763,1.038,8.347651,1.697088,0.774582,0.922506,89.29,,,113.19596459365,-20.90968216106,0.3958982392825665,12.012082148621722,25.960972,X Pup,12.161,2.0,0.002,12.12232890840068,XPup,FU
10,TMon,1.431915,7.307,6.128,4.98,3.525,0.179,4.183,3.652,Gaia DR3 3324535073449061504,96.30416910585,7.08569727313,0.7141,1.724,6.124317,1.512229,0.674398,0.837831,48.85,-0.1455,0.2646,96.30416910585,7.08569727313,0.7239258574538009,10.70152955401106,27.034296,T Mon,10.595,2.0,0.203,10.731204834626157,TMon,FU
40,RYVel,1.449158,9.744,8.371,6.834,4.928,0.545,5.7,5.123,Gaia DR3 5355057622307185280,155.17091157355,-55.32138032787,0.3649,1.075,7.879678,1.78725,0.891147,0.896102,,,,155.17091157355,-55.32138032787,0.3694081360575676,12.162467718193092,28.12924,RY Vel,11.857,3.0,0.063,12.18913068317676,RYVel,FU
66,KQSco,1.457818,11.747,9.81,7.658,4.947,0.869,6.025,5.218,Gaia DR3 5964193485048327808,252.91060533045,-45.42670590081,0.4315,0.909,8.963354,2.389219,1.292938,1.096281,-26.56,-0.0953,1.6617,252.91060533045,-45.42670590081,0.4678751079077907,11.649350298572724,28.695778,KQ Sco,12.246,3.0,0.347,11.825095999743858,KQSco,FU
54,AQPup,1.478624,10.081,8.705,7.14,5.299,0.518,6.102,5.483,Gaia DR3 5597379741549105280,119.59202293226,-29.13008221932,0.2751,1.18,8.315241,1.883613,0.937991,0.945621,,0.3209,0.6648,119.59202293226,-29.13008221932,0.2918121746735618,12.674482964487549,30.103985,AQ Pup,12.578,2.0,0.049,12.802547048051585,AQPup,FU
80,KNCen,1.531857,11.468,9.856,7.996,5.49,0.791,6.517,5.756,Gaia DR3 5864135319959353600,204.15365781403,-64.55831585329,0.2272,1.034,9.240802,2.085267,1.056779,1.028488,-39.72,,,204.15365781403,-64.55831585329,0.2501446605332713,13.009043814606148,34.029617,KN Cen,12.989,3.0,0.399,13.217958364805092,KNCen,FU
0,lCar,1.550816,5.009,3.729,2.557,1.093,0.146,1.766,1.212,Gaia DR3 5250032958818831360,146.31159319123,-62.50786736246,1.9842,2.393,3.471174,1.503222,0.70813,0.795092,,-0.0584,0.474,146.31159319123,-62.50786736246,1.9612768711062845,8.537305465863179,35.54807,l Car,8.501,2.0,0.089,8.512072773513268,lCar,FU
12,UCar,1.58897,7.469,6.292,5.057,3.522,0.263,4.193,3.67,Gaia DR3 5338359442320395904,164.45072523345,-59.73217920344,0.553,1.229,6.157681,1.470397,0.651497,0.8189,,-1.2903,0.3809,164.45072523345,-59.73217920344,0.5592769001576697,11.261865589942282,38.812355,U Car,10.747,2.0,0.086,11.28637434347651,UCar,FU
18,RSPup,1.61742,8.442,7.01,5.489,3.647,0.457,4.44,3.827,Gaia DR3 5546476927338700416,123.26754647233,-34.57851289632,0.5693,1.157,6.638235,1.853358,0.95577,0.897588,31.8,,,123.26754647233,-34.57851289632,0.578212811734186,11.18956144845464,41.440025,RS Pup,11.291,2.0,0.217,11.22329408094226,RSPup,FU
20,SVVul,1.652569,8.7,7.213,5.67,3.93,0.462,4.668,4.09,Gaia DR3 2027951173435143680,297.87876412857,27.46020619101,0.3729,1.203,6.809188,1.898721,0.981487,0.917234,4.84,,,297.87876412857,27.46020619101,0.3964115463171651,12.009268521327334,44.933384,SV Vul,11.389,3.0,0.108,12.142038083193466,SVVul,FU
64,GYSge,1.708102,12.442,10.163,7.5,4.596,1.31,5.723,4.889,Gaia DR3 1825211056159949440,293.80677127848,19.2023880239,0.2958,0.95,8.8266,2.786598,1.620204,1.166394,,-0.08,1.7857,293.80677127848,19.2023880239,0.3406710690657754,12.338323733079116,51.06249,GY Sge,12.291,2.0,0.193,12.645009151695632,GYSge,FU
43,SVul,1.837426,10.85,8.961,6.941,4.6,0.787,5.536,4.832,Gaia DR3 2027971514401523456,297.09917637974,27.2864809379,0.2051,1.035,8.151961,2.230767,1.158852,1.071915,5.18,,,297.09917637974,27.2864809379,0.2281214234766787,13.209169635414105,68.77428,S Vul,12.912,3.0,0.089,13.440171698158167,SVul,FU
